Omzet per relatie / boekingstype;;;;;;;;;;;;;;;
Created on;13-1-2014;5:17:59;;;;;;;;;;;;;
Selectie;Factuurdatum;van;12-1-2014;Tot en met;12-1-2014;;;;;;;;;;
;;;;;;;;;;;;;;;
Bedrijf;Dossiernummer;Vertrekdatum;Bedrag;Boekingstype;Product type;Ticket nummer;Ticket uitgifte datum;PNR nummer;Ticket route;Luchtvaartmaatschappij;Boekingskanaal;Sub-kanaal;Einddatum segment;Nieuw/Wijziging/Annulering;Eindbestemming vlucht
3;492798;2-6-2014;146,59;FLIGHT;Vliegticket;5,54634E+11;12-1-2014;2GKPWRM;FCO/CTA/***/PMO/FCO;AZ;;;9-6-2014;N;CTA
3;492798;2-6-2014;146,59;FLIGHT;Vliegticket;5,54634E+11;12-1-2014;2GKPWRM;FCO/CTA/***/PMO/FCO;AZ;;;9-6-2014;N;CTA
3;493014;17-1-2014;194,22;FLIGHT;Vliegticket;1,47463E+12;12-1-2014;2PEP93M;AMS/NDR/AMS;AT;skyscanner.nl BNL Meta;rc7ZdHusEeOHAwBQVpg1Xw;22-1-2014;N;NDR
3;493014;17-1-2014;194,22;FLIGHT;Vliegticket;1,47463E+12;12-1-2014;2PEP93M;AMS/NDR/AMS;AT;skyscanner.nl BNL Meta;rc7ZdHusEeOHAwBQVpg1Xw;22-1-2014;N;NDR
3;493014;12-1-2014;35;OVERIGE;Boekingskosten;;;;;;;;12-1-2014;N;
3;492887;20-1-2014;83,62;FLIGHT;Vliegticket;L218960L002;12-1-2014;218960L;EIN/STN/EIN;FR;;;24-1-2014;N;STN
3;492887;12-1-2014;36;OVERIGE;Boekingskosten;;;;;;;;12-1-2014;N;
3;492870;21-7-2014;319,13;FLIGHT;Vliegticket;1,14464E+12;12-1-2014;2L5B2WM;BRU/TLV/BRU;LY;;;5-8-2014;N;TLV
3;492870;21-7-2014;319,13;FLIGHT;Vliegticket;1,14464E+12;12-1-2014;2L5B2WM;BRU/TLV/BRU;LY;;;5-8-2014;N;TLV
3;492870;21-7-2014;319,13;FLIGHT;Vliegticket;1,14464E+12;12-1-2014;2L5B2WM;BRU/TLV/BRU;LY;;;5-8-2014;N;TLV
3;492870;21-7-2014;319,13;FLIGHT;Vliegticket;1,14464E+12;12-1-2014;2L5B2WM;BRU/TLV/BRU;LY;;;5-8-2014;N;TLV
3;492870;12-1-2014;95,6;REISVERZEKERING;KORTLOPENDE ANNULERINGSVERZEKE;;;;;;;;6-8-2014;N;
3;492870;12-1-2014;51;OVERIGE;Boekingskosten;;;;;;;;12-1-2014;N;
3;493079;16-1-2014;239,92;FLIGHT;Vliegticket;6,24463E+12;12-1-2014;2QSFK5M;AMS/SAW/IKA/SAW/AMS;PC;skyscanner.nl BNL Meta;pIDMwHu_EeOg7ABQVpAtiw;28-1-2014;N;IKA
3;493079;12-1-2014;17,5;OVERIGE;Boekingskosten;;;;;;;;12-1-2014;N;
3;492992;3-8-2014;270,76;FLIGHT;Vliegticket;8,31463E+12;12-1-2014;2OK9O8M;AMS/ZAG/PUY/ZAG/AMS;OU;;;15-8-2014;N;PUY
3;492992;3-8-2014;270,76;FLIGHT;Vliegticket;8,31463E+12;12-1-2014;2OK9O8M;AMS/ZAG/PUY/ZAG/AMS;OU;;;15-8-2014;N;PUY
3;492992;3-8-2014;270,76;FLIGHT;Vliegticket;8,31463E+12;12-1-2014;2OK9O8M;AMS/ZAG/PUY/ZAG/AMS;OU;;;15-8-2014;N;PUY
3;492992;3-8-2014;270,76;FLIGHT;Vliegticket;8,31463E+12;12-1-2014;2OK9O8M;AMS/ZAG/PUY/ZAG/AMS;OU;;;15-8-2014;N;PUY
3;492992;12-1-2014;27,96;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;12-1-2014;N;
3;492992;12-1-2014;81,4;REISVERZEKERING;KORTLOPENDE ANNULERINGSVERZEKE;;;;;;;;16-8-2014;N;
3;492992;3-8-2014;106,07;REISVERZEKERING;KORTLOPENDE REISVERZEKERING;;;;;;;;16-8-2014;N;
3;492992;12-1-2014;31;OVERIGE;Boekingskosten;;;;;;;;12-1-2014;N;
3;492927;17-7-2014;97,01;FLIGHT;Vliegticket;7,44634E+11;12-1-2014;2NI3WTM;AMS/PRG/AMS;KL;kayak budgetair.nl;AlD2OGVQPaTgQtkU9loBzg;23-7-2014;N;PRG
3;492927;17-7-2014;97,01;FLIGHT;Vliegticket;7,44634E+11;12-1-2014;2NI3WTM;AMS/PRG/AMS;KL;kayak budgetair.nl;AlD2OGVQPaTgQtkU9loBzg;23-7-2014;N;PRG
3;492927;12-1-2014;15;OVERIGE;Boekingskosten;;;;;;;;12-1-2014;N;
3;492827;8-3-2014;96,59;FLIGHT;Vliegticket;7,44634E+11;12-1-2014;2K7EYBM;AMS/MAN/***/BHX/AMS;KL;skyscanner.nl BNL Meta;Fquc7ntwEeO9qwBQVph1LQ;11-3-2014;N;MAN
3;492827;12-1-2014;7,5;OVERIGE;Boekingskosten;;;;;;;;12-1-2014;N;
3;493106;12-3-2014;671,36;FLIGHT;Vliegticket;7,44634E+11;12-1-2014;2QK4SOM;AMS/DEL/AMS;KL;;;26-3-2014;N;DEL
3;493106;12-3-2014;671,36;FLIGHT;Vliegticket;7,44634E+11;12-1-2014;2QK4SOM;AMS/DEL/AMS;KL;;;26-3-2014;N;DEL
3;493106;12-1-2014;51;OVERIGE;Boekingskosten;;;;;;;;12-1-2014;N;
3;492929;26-4-2014;104,37;FLIGHT;Vliegticket;7,44634E+11;12-1-2014;2NI44MM;AMS/BHX/AMS;KL;;;4-5-2014;N;BHX
