Omzet per relatie / boekingstype;;;;;;;;;;;;;;;
Created on;19-12-2013;5:30:38;;;;;;;;;;;;;
Selectie;Factuurdatum;van;18-12-2013;Tot en met;18-12-2013;;;;;;;;;;
;;;;;;;;;;;;;;;
Bedrijf;Dossiernummer;Vertrekdatum;Bedrag;Boekingstype;Product type;Ticket nummer;Ticket uitgifte datum;PNR nummer;Ticket route;Luchtvaartmaatschappij;Boekingskanaal;Sub-kanaal;Einddatum segment;Nieuw/Wijziging/Annulering;Eindbestemming vlucht
3;487391;25-12-2013;562,24;FLIGHT;Vliegticket;5,89463E+12;18-12-2013;7WL3VAM;BRU/EWR/BRU;9W;;;31-12-2013;N;EWR
3;487395;2-1-2014;311,21;FLIGHT;Vliegticket;2,20463E+12;18-12-2013;72PNZAM;NAP/MUC/AMS/MUC/NAP;LH;;;5-1-2014;N;AMS
3;487390;7-1-2014;375,58;FLIGHT;Vliegticket;9,60463E+12;18-12-2013;7YODWOM;TLL/CPH/CDG/CPH/TLL;OV;;;9-1-2014;N;CDG
3;487392;16-2-2014;1.076,51;FLIGHT;Vliegticket;2,20463E+12;18-12-2013;7ZV8GYM;BKK/FRA/QDU/***/MUC/FRA/BKK;LH;;;21-2-2014;N;QDU
3;487392;16-2-2014;1.076,51;FLIGHT;Vliegticket;2,20463E+12;18-12-2013;7ZV8GYM;BKK/FRA/QDU/***/MUC/FRA/BKK;LH;;;21-2-2014;N;QDU
3;487344;4-3-2014;0;FLIGHT;Vliegticket;7,44634E+11;18-12-2013;7W2V4SM;AMS/SVG/AMS;KL;;;10-3-2014;W;SVG
3;487344;17-12-2013;-30;OVERIGE;Boekingskosten;;;;;;;;17-12-2013;W;
3;487403;9-5-2014;102,88;FLIGHT;Vliegticket;7,44634E+11;18-12-2013;75G746M;AMS/OSL/AMS;KL;;;13-5-2014;N;OSL
3;487403;9-5-2014;102,88;FLIGHT;Vliegticket;7,44634E+11;18-12-2013;75G746M;AMS/OSL/AMS;KL;;;13-5-2014;N;OSL
3;487403;9-5-2014;102,88;FLIGHT;Vliegticket;7,44634E+11;18-12-2013;75G746M;AMS/OSL/AMS;KL;;;13-5-2014;N;OSL
3;487403;18-12-2013;31,5;OVERIGE;Boekingskosten;;;;;;;;18-12-2013;N;
3;487492;12-1-2014;99,01;FLIGHT;Vliegticket;1,57463E+12;18-12-2013;8F6UXIM;PNH/SGN;QR;;;12-1-2014;N;SGN
3;487410;6-2-2014;112,54;FLIGHT;Vliegticket;2,20463E+12;18-12-2013;76NWRCM;DUS/TXL/DUS;LH;skyscanner.nl BNL Meta;MTdnIGfDEeOFvQBQVpBo4g;6-2-2014;N;TXL
3;487492;18-12-2013;6,99;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;18-12-2013;N;
3;487410;18-12-2013;6;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;18-12-2013;N;
3;487410;18-12-2013;9,71;OVERIGE;Boekingskosten;;;;;;;;18-12-2013;N;
3;487492;18-12-2013;41,76;OVERIGE;Boekingskosten;;;;;;;;18-12-2013;N;
3;487490;15-1-2014;368,87;FLIGHT;Vliegticket;14633954336;18-12-2013;8GKMAEM;MCO/MIA/CUR/MIA/MCO;AA;;;2-2-2014;N;CUR
3;487490;18-12-2013;43,29;OVERIGE;Boekingskosten;;;;;;;;18-12-2013;N;
3;487196;20-12-2013;50;FLIGHT;Vliegticket;2,35463E+12;18-12-2013;7IMB7EM;IST/AMS;TK;;;20-12-2013;N;AMS
3;487196;21-12-2013;0;FLIGHT;Vliegticket;2,35463E+12;17-12-2013;7IMB7EM;IST/AMS;TK;;;20-12-2013;W;AMS
3;487196;17-12-2013;50;OVERIGE;Boekingskosten;;;;;;;;17-12-2013;W;
3;487397;6-1-2014;213,98;FLIGHT;Vliegticket;L213964L002;18-12-2013;213964L;EIN/SOF/EIN;W6;;;10-1-2014;N;SOF
3;487397;6-1-2014;15,98;REISVERZEKERING;KORTLOPENDE REISVERZEKERING;;;;;;;;11-1-2014;N;
3;487397;18-12-2013;41,14;OVERIGE;Boekingskosten;;;;;;;;18-12-2013;N;
3;487387;8-1-2014;635,58;FLIGHT;Vliegticket;1,64634E+11;18-12-2013;7YOT47M;AMS/EWR/PBI/IAH/AMS;UA;;;4-2-2014;N;PBI
3;487387;18-12-2013;32;OVERIGE;Boekingskosten;;;;;;;;18-12-2013;N;
3;487468;19-12-2013;350,78;FLIGHT;Vliegticket;9,96463E+12;18-12-2013;8DZ584M;AMS/MAD/AMS;UX;;;23-12-2013;N;MAD
3;487468;18-12-2013;6,99;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;18-12-2013;N;
3;487468;18-12-2013;35,5;OVERIGE;Boekingskosten;;;;;;;;18-12-2013;N;
3;487423;25-12-2013;195,08;FLIGHT;Vliegticket;2,35463E+12;18-12-2013;772I55M;IST/AMS/IST;TK;;;3-1-2014;N;AMS
3;487423;18-12-2013;32,98;OVERIGE;Boekingskosten;;;;;;;;18-12-2013;N;
3;487314;8-2-2014;0;FLIGHT;Vliegticket;1,08463E+12;18-12-2013;7U4SWXM;AMS/KEF/AMS;FI;;;15-2-2014;W;KEF
3;487314;8-2-2014;0;FLIGHT;Vliegticket;1,08463E+12;18-12-2013;7U4SWXM;AMS/KEF/AMS;FI;;;15-2-2014;W;KEF
3;487314;17-12-2013;-15;OVERIGE;Boekingskosten;;;;;;;;17-12-2013;W;
3;430139;23-12-2013;0;FLIGHT;Vliegticket;13297478434;26-5-2013;6GR4VDM;DUS/ORD/MIA/ORD/DUS;AA;;;4-1-2014;W;MIA
