Omzet per relatie / boekingstype;;;;;;;;;;;;;;;
Created on;11-1-2014;5:23:17;;;;;;;;;;;;;
Selectie;Factuurdatum;van;10-1-2014;Tot en met;10-1-2014;;;;;;;;;;
;;;;;;;;;;;;;;;
Bedrijf;Dossiernummer;Vertrekdatum;Bedrag;Boekingstype;Product type;Ticket nummer;Ticket uitgifte datum;PNR nummer;Ticket route;Luchtvaartmaatschappij;Boekingskanaal;Sub-kanaal;Einddatum segment;Nieuw/Wijziging/Annulering;Eindbestemming vlucht
3;492326;10-2-2014;214,68;FLIGHT;Vliegticket;2,20464E+12;8-1-2014;YGW3YHM;FRA/DRS/FRA;LH;;;12-2-2014;N;DRS
3;492218;17-2-2014;970,97;FLIGHT;Vliegticket;2,20463E+12;10-1-2014;ZD5JGYM;AMS/MUC/POZ/FRA;LH;;;19-2-2014;N;POZ
3;492219;27-2-2014;167,02;FLIGHT;Vliegticket;2,20463E+12;10-1-2014;Y6XQ27M;KUL/BKK/KUL;LH;;;3-3-2014;N;BKK
3;492215;10-1-2014;27,96;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;10-1-2014;N;
3;492215;10-1-2014;251;OVERIGE;Boekingskosten;;;;;;;;10-1-2014;N;
3;492321;15-1-2014;108,95;FLIGHT;Vliegticket;L218468L002;10-1-2014;218468L;AMS/OPO/AMS;HV;;;17-1-2014;N;OPO
3;492321;10-1-2014;38,25;OVERIGE;Boekingskosten;;;;;;;;10-1-2014;N;
3;492263;24-5-2014;250,8;AUTOHUUR;Autohuur;;;02SZR6;;;;;31-5-2014;N;
3;492263;24-5-2014;99,02;FLIGHT;Vliegticket;7,44634E+11;10-1-2014;ZLZHMVM;AMS/LIN/AMS;KL;;;31-5-2014;N;LIN
3;492263;24-5-2014;92,13;FLIGHT;Vliegticket;7,44634E+11;10-1-2014;ZLZHMVM;AMS/LIN/AMS;KL;;;31-5-2014;N;LIN
3;492263;24-5-2014;99,02;FLIGHT;Vliegticket;7,44634E+11;10-1-2014;ZLZHMVM;AMS/LIN/AMS;KL;;;31-5-2014;N;LIN
3;492263;24-5-2014;92,13;FLIGHT;Vliegticket;7,44634E+11;10-1-2014;ZLZHMVM;AMS/LIN/AMS;KL;;;31-5-2014;N;LIN
3;492263;10-1-2014;25;OVERIGE;Boekingskosten;;;;;;;;10-1-2014;N;
3;492330;14-1-2014;221,64;FLIGHT;Vliegticket;7,44634E+11;10-1-2014;ZR5QXWM;AMS/GVA/***/ZRH/AMS;KL;;;17-1-2014;N;GVA
3;492330;10-1-2014;8,5;OVERIGE;Boekingskosten;;;;;;;;10-1-2014;N;
3;492398;12-2-2014;487,2;FLIGHT;Vliegticket;2,20463E+12;10-1-2014;ZXXY7LM;BRU/EWR/PTY/EWR/BRU;LH;;;19-3-2014;N;PTY
3;492398;12-2-2014;487,2;FLIGHT;Vliegticket;2,20463E+12;10-1-2014;ZXXY7LM;BRU/EWR/PTY/EWR/BRU;LH;;;19-3-2014;N;PTY
3;492398;10-1-2014;31;OVERIGE;Boekingskosten;;;;;;;;10-1-2014;N;
3;492391;24-1-2014;162,95;FLIGHT;Vliegticket;L218549L002;10-1-2014;218549L;EIN/ALC/EIN;HV;;;27-1-2014;N;ALC
3;492391;24-1-2014;118,95;FLIGHT;Vliegticket;L218549L003;10-1-2014;218549L;EIN/ALC/EIN;HV;;;27-1-2014;N;ALC
3;492391;10-1-2014;51;OVERIGE;Boekingskosten;;;;;;;;10-1-2014;N;
3;492415;17-1-2014;129,95;FLIGHT;Vliegticket;L218576L002;10-1-2014;218576L;AMS/ALC/AMS;HV;;;21-1-2014;N;ALC
3;492415;10-1-2014;36;OVERIGE;Boekingskosten;;;;;;;;10-1-2014;N;
3;492331;10-2-2014;209,68;FLIGHT;Vliegticket;B0492331002;10-1-2014;      P;;LH;;;10-2-2014;N;DRS
3;492355;11-1-2014;34,95;FLIGHT;Vliegticket;L218496L002;10-1-2014;218496L;GVA/RTM;HV;;;11-1-2014;N;RTM
3;492355;10-1-2014;16;OVERIGE;Boekingskosten;;;;;;;;10-1-2014;N;
3;491730;22-5-2014;0;FLIGHT;Vliegticket;L217974L006;8-1-2014;217974L;RTM/SAW/RTM;HV;;;25-5-2014;W;SAW
3;491730;22-5-2014;0;FLIGHT;Vliegticket;L217974L008;8-1-2014;217974L;RTM/SAW/RTM;HV;;;25-5-2014;W;SAW
3;491730;22-5-2014;0;FLIGHT;Vliegticket;L217974L009;8-1-2014;217974L;RTM/SAW/RTM;HV;;;25-5-2014;W;SAW
3;491730;22-5-2014;0;FLIGHT;Vliegticket;L217974L007;8-1-2014;217974L;RTM/SAW/RTM;HV;;;25-5-2014;W;SAW
3;491730;22-5-2014;0;HOTELS;Hotel boeking;;;;;;;;25-5-2014;W;
3;491730;22-5-2014;0;HOTELS;Hotel boeking;;;;;;;;25-5-2014;W;
3;491730;22-5-2014;0;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;22-5-2014;W;
3;491730;8-1-2014;60;OVERIGE;Boekingskosten;;;;;;;;8-1-2014;W;
3;487468;19-12-2013;0;FLIGHT;Vliegticket;9,96463E+12;18-12-2013;8DZ584M;AMS/MAD/AMS;UX;;;23-12-2013;W;MAD
3;487468;18-12-2013;0;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;18-12-2013;W;
3;487468;18-12-2013;-15;OVERIGE;Boekingskosten;;;;;;;;18-12-2013;W;
3;492080;13-9-2014;-1,72;AUTOHUUR;Autohuur;;;ALC1400;;;;;27-9-2014;W;
