Omzet per relatie / boekingstype;;;;;;;;;;;;;;;
Created on;29-12-2013;5:21:18;;;;;;;;;;;;;
Selectie;Factuurdatum;van;28-12-2013;Tot en met;28-12-2013;;;;;;;;;;
;;;;;;;;;;;;;;;
Bedrijf;Dossiernummer;Vertrekdatum;Bedrag;Boekingstype;Product type;Ticket nummer;Ticket uitgifte datum;PNR nummer;Ticket route;Luchtvaartmaatschappij;Boekingskanaal;Sub-kanaal;Einddatum segment;Nieuw/Wijziging/Annulering;Eindbestemming vlucht
3;489241;7-1-2014;148,53;FLIGHT;Vliegticket;1,17463E+12;28-12-2013;329429M;TXL/CPH/AMS;SK;;;7-1-2014;N;AMS
3;489273;11-6-2014;48,05;FLIGHT;Vliegticket;7,44634E+11;28-12-2013;34CDLEM;CDG/BCN;KL;;;11-6-2014;N;BCN
3;489273;11-6-2014;48,05;FLIGHT;Vliegticket;7,44634E+11;28-12-2013;34CDLEM;CDG/BCN;KL;;;11-6-2014;N;BCN
3;489148;28-12-2013;197,27;FLIGHT;Vliegticket;1,47463E+12;28-12-2013;3WMVUXM;AMS/CMN/TNG;AT;;;28-12-2013;N;TNG
3;489148;28-12-2013;197,27;FLIGHT;Vliegticket;1,47463E+12;28-12-2013;3WMVUXM;AMS/CMN/TNG;AT;;;28-12-2013;N;TNG
3;489271;3-1-2014;76,99;FLIGHT;Vliegticket;L215755L002;28-12-2013;215755L;EIN/WRO;W6;;;3-1-2014;N;WRO
3;489271;28-12-2013;37;OVERIGE;Boekingskosten;;;;;;;;28-12-2013;N;
3;489156;19-4-2014;197,6;AUTOHUUR;Autohuur;;;9803241;;;;;26-4-2014;N;
3;489156;19-4-2014;213,37;FLIGHT;Vliegticket;7,44634E+11;28-12-2013;3W4B4WM;AMS/ABZ/AMS;KL;;;26-4-2014;N;ABZ
3;489156;19-4-2014;213,37;FLIGHT;Vliegticket;7,44634E+11;28-12-2013;3W4B4WM;AMS/ABZ/AMS;KL;;;26-4-2014;N;ABZ
3;489156;28-12-2013;25;OVERIGE;Boekingskosten;;;;;;;;28-12-2013;N;
3;489280;30-12-2013;128,18;FLIGHT;Vliegticket;8,04634E+11;28-12-2013;342RHIM;AMS/WAW/VNO;LO;skyscanner.nl BNL Meta;eWnH2nAREeOO7wBQVpB-NQ;30-12-2013;N;VNO
3;489280;28-12-2013;7,5;OVERIGE;Boekingskosten;;;;;;;;28-12-2013;N;
3;489199;27-4-2014;286,88;FLIGHT;Vliegticket;7,44634E+11;28-12-2013;3Y5DN9M;AMS/LIS/AMS;KL;;;4-5-2014;N;LIS
3;489199;27-4-2014;246,88;FLIGHT;Vliegticket;7,44634E+11;28-12-2013;3Y5DN9M;AMS/LIS/AMS;KL;;;4-5-2014;N;LIS
3;489199;27-4-2014;286,88;FLIGHT;Vliegticket;7,44634E+11;28-12-2013;3Y5DN9M;AMS/LIS/AMS;KL;;;4-5-2014;N;LIS
3;489199;27-4-2014;286,88;FLIGHT;Vliegticket;7,44634E+11;28-12-2013;3Y5DN9M;AMS/LIS/AMS;KL;;;4-5-2014;N;LIS
3;489199;28-12-2013;55;OVERIGE;Boekingskosten;;;;;;;;28-12-2013;N;
3;489157;3-1-2014;229,98;FLIGHT;Vliegticket;L215638L002;28-12-2013;215638L;EIN/SKP/EIN;W6;;;6-1-2014;N;SKP
3;489157;28-12-2013;37;OVERIGE;Boekingskosten;;;;;;;;28-12-2013;N;
3;489265;1-1-2014;264,08;FLIGHT;Vliegticket;4,54634E+11;28-12-2013;34EZI6M;AEP/SCL/AEP;LA;;;6-1-2014;N;SCL
3;489265;1-1-2014;264,08;FLIGHT;Vliegticket;4,54634E+11;28-12-2013;34EZI6M;AEP/SCL/AEP;LA;;;6-1-2014;N;SCL
3;489265;1-1-2014;264,08;FLIGHT;Vliegticket;4,54634E+11;28-12-2013;34EZI6M;AEP/SCL/AEP;LA;;;6-1-2014;N;SCL
3;489265;28-12-2013;76,5;OVERIGE;Boekingskosten;;;;;;;;28-12-2013;N;
3;489214;14-2-2014;198,95;FLIGHT;Vliegticket;L215714L002;28-12-2013;215714L;RTM/FAO/RTM;HV;;;18-2-2014;N;FAO
3;489214;28-12-2013;37;OVERIGE;Boekingskosten;;;;;;;;28-12-2013;N;
3;489226;15-2-2014;165,95;FLIGHT;Vliegticket;L215724L002;28-12-2013;215724L;AMS/TRN/AMS;HV;;;22-2-2014;N;TRN
3;489226;15-2-2014;155,95;FLIGHT;Vliegticket;L215724L005;28-12-2013;215724L;AMS/TRN/AMS;HV;;;22-2-2014;N;TRN
3;489226;15-2-2014;155,95;FLIGHT;Vliegticket;L215724L004;28-12-2013;215724L;AMS/TRN/AMS;HV;;;22-2-2014;N;TRN
3;489226;15-2-2014;155,95;FLIGHT;Vliegticket;L215724L006;28-12-2013;215724L;AMS/TRN/AMS;HV;;;22-2-2014;N;TRN
3;489226;15-2-2014;165,95;FLIGHT;Vliegticket;L215724L003;28-12-2013;215724L;AMS/TRN/AMS;HV;;;22-2-2014;N;TRN
3;489226;28-12-2013;101;OVERIGE;Boekingskosten;;;;;;;;28-12-2013;N;
3;489158;11-1-2014;64,95;FLIGHT;Vliegticket;L215639L002;28-12-2013;215639L;RTM/GVA/RTM;HV;;;18-1-2014;N;GVA
3;489158;11-1-2014;64,95;FLIGHT;Vliegticket;L215639L003;28-12-2013;215639L;RTM/GVA/RTM;HV;;;18-1-2014;N;GVA
3;489158;28-12-2013;53;OVERIGE;Boekingskosten;;;;;;;;28-12-2013;N;
3;489165;6-8-2014;741,13;FLIGHT;Vliegticket;14634022369;28-12-2013;3XQLIFM;BNE/LAX;AA;;;6-8-2014;N;LAX
