Omzet per relatie / boekingstype;;;;;;;;;;;;;;;
Created on;4-1-2014;5:14:59;;;;;;;;;;;;;
Selectie;Factuurdatum;van;3-1-2014;Tot en met;3-1-2014;;;;;;;;;;
;;;;;;;;;;;;;;;
Bedrijf;Dossiernummer;Vertrekdatum;Bedrag;Boekingstype;Product type;Ticket nummer;Ticket uitgifte datum;PNR nummer;Ticket route;Luchtvaartmaatschappij;Boekingskanaal;Sub-kanaal;Einddatum segment;Nieuw/Wijziging/Annulering;Eindbestemming vlucht
3;490133;8-1-2014;243;FLIGHT;Vliegticket;L216626L002;3-1-2014;216626L;LPA/AMS;OR;;;8-1-2014;N;AMS
3;490133;3-1-2014;6,99;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;3-1-2014;N;
3;490133;3-1-2014;36;OVERIGE;Boekingskosten;;;;;;;;3-1-2014;N;
3;490164;12-2-2014;249,42;FLIGHT;Vliegticket;L216665L002;3-1-2014;216665L;BRU/BCN/SVQ/BCN/BRU;VY;;;20-2-2014;N;SVQ
3;490164;12-2-2014;175,58;FLIGHT;Vliegticket;L216665L003;3-1-2014;216665L;BRU/BCN/SVQ/BCN/BRU;VY;;;20-2-2014;N;SVQ
3;490164;3-1-2014;51;OVERIGE;Boekingskosten;;;;;;;;3-1-2014;N;
3;490302;24-1-2014;119,09;FLIGHT;Vliegticket;7,44634E+11;3-1-2014;6KNBD3M;CPH/AMS/CPH;KL;;;29-1-2014;N;AMS
3;490302;24-1-2014;4;FLIGHT;Vliegticket;7,44634E+11;3-1-2014;6KNBD3M;CPH/AMS/CPH;KL;;;29-1-2014;N;AMS
3;490302;24-1-2014;119,09;FLIGHT;Vliegticket;7,44634E+11;3-1-2014;6KNBD3M;CPH/AMS/CPH;KL;;;29-1-2014;N;AMS
3;490302;3-1-2014;23,5;OVERIGE;Boekingskosten;;;;;;;;3-1-2014;N;
3;490179;21-1-2014;107,28;FLIGHT;Vliegticket;L216683L002;3-1-2014;216683L;LPL/AMS/LPL;U2;;;23-1-2014;N;AMS
3;490179;3-1-2014;36;OVERIGE;Boekingskosten;;;;;;;;3-1-2014;N;
3;490154;28-2-2014;225,13;FLIGHT;Vliegticket;2,20438E+12;3-1-2014;59Y9ZWM;AMS/FRA/ALG/FRA/AMS;LH;skyscanner.nl BNL Meta;XtgmsHQ-EeOsfgBQVpB-SQ;7-3-2014;N;ALG
3;490154;3-1-2014;17,5;OVERIGE;Boekingskosten;;;;;;;;3-1-2014;N;
3;490189;18-10-2014;228,15;FLIGHT;Vliegticket;2,20438E+12;3-1-2014;6DNLP5M;AMS/MUC/ESB/MUC/AMS;LH;;;22-10-2014;N;ESB
3;490189;18-10-2014;228,15;FLIGHT;Vliegticket;2,20438E+12;3-1-2014;6DNLP5M;AMS/MUC/ESB/MUC/AMS;LH;;;22-10-2014;N;ESB
3;490189;3-1-2014;36;OVERIGE;Boekingskosten;;;;;;;;3-1-2014;N;
3;490137;4-1-2014;697,85;FLIGHT;Vliegticket;2,20463E+12;3-1-2014;56CHHNM;AMS/FRA/JFK/MUC/AMS;LH;skyscanner.nl BNL Meta;lekkTnQtEeOCtwBQVpArCA;11-1-2014;N;JFK
3;490137;3-1-2014;8;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;3-1-2014;N;
3;490137;3-1-2014;17,5;OVERIGE;Boekingskosten;;;;;;;;3-1-2014;N;
3;490155;16-2-2014;165,43;FLIGHT;Vliegticket;5,54634E+11;3-1-2014;6AL3EBM;BRU/FCO/GOA/***/LIN/BRU;AZ;;;21-2-2014;N;GOA
3;490155;3-1-2014;31,51;OVERIGE;Boekingskosten;;;;;;;;3-1-2014;N;
3;490260;7-1-2014;173,5;FLIGHT;Vliegticket;A6ICPNGM002;3-1-2014;6ICPNGM;AMS/MUC/AMS;LH;;;24-1-2014;N;MUC
3;490260;3-1-2014;6,99;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;3-1-2014;N;
3;490260;7-1-2014;40,9;REISVERZEKERING;KORTLOPENDE REISVERZEKERING;;;;;;;;25-1-2014;N;
3;490260;3-1-2014;28,5;OVERIGE;Boekingskosten;;;;;;;;3-1-2014;N;
3;490244;20-1-2014;153,93;FLIGHT;Vliegticket;1,25463E+12;3-1-2014;6HMKV4M;RTM/LHR/RTM;BA;;;23-1-2014;N;LHR
3;490244;3-1-2014;31,33;OVERIGE;Boekingskosten;;;;;;;;3-1-2014;N;
3;490159;7-3-2014;572,52;FLIGHT;Vliegticket;2,20463E+12;3-1-2014;6AUD5YM;AMS/MUC/SFO/MUC/AMS;LH;skyscanner.nl BNL Meta;8PJ1KnRaEeOxwQBQVpB-MA;29-3-2014;N;SFO
3;490159;7-3-2014;572,52;FLIGHT;Vliegticket;2,20463E+12;3-1-2014;6AUD5YM;AMS/MUC/SFO/MUC/AMS;LH;skyscanner.nl BNL Meta;8PJ1KnRaEeOxwQBQVpB-MA;29-3-2014;N;SFO
3;490159;7-3-2014;572,52;FLIGHT;Vliegticket;2,20463E+12;3-1-2014;6AUD5YM;AMS/MUC/SFO/MUC/AMS;LH;skyscanner.nl BNL Meta;8PJ1KnRaEeOxwQBQVpB-MA;29-3-2014;N;SFO
3;490159;3-1-2014;52,5;OVERIGE;Boekingskosten;;;;;;;;3-1-2014;N;
3;490256;20-1-2014;111,07;FLIGHT;Vliegticket;1,25463E+12;3-1-2014;6H2CGTM;AMS/LGW/AMS;BA;;;22-1-2014;N;LGW
3;490256;3-1-2014;16,55;REISVERZEKERING;KORTLOPENDE ANNULERINGSVERZEKE;;;;;;;;23-1-2014;N;
