Omzet per relatie / boekingstype;;;;;;;;;;;;;;;
Created on;22-12-2013;5:31:22;;;;;;;;;;;;;
Selectie;Factuurdatum;van;21-12-2013;Tot en met;21-12-2013;;;;;;;;;;
;;;;;;;;;;;;;;;
Bedrijf;Dossiernummer;Vertrekdatum;Bedrag;Boekingstype;Product type;Ticket nummer;Ticket uitgifte datum;PNR nummer;Ticket route;Luchtvaartmaatschappij;Boekingskanaal;Sub-kanaal;Einddatum segment;Nieuw/Wijziging/Annulering;Eindbestemming vlucht
3;467276;7-10-2013;-1.021,07;FLIGHT;Vliegticket;6,18432E+12;24-9-2013;YTO734M;INN/FRA/JFK/FRA/INN;SQ;;;10-10-2013;A;JFK
3;488000;31-12-2013;1.422,45;FLIGHT;Vliegticket;6,18463E+12;21-12-2013;ZBEVSAM;LHR/SIN/CHC/SIN/LHR;SQ;;;25-2-2014;N;CHC
3;487952;8-7-2014;129,41;FLIGHT;Vliegticket;1,17463E+12;21-12-2013;Y5WVDZM;EDI/ARN/LED;SK;;;8-7-2014;N;LED
3;488097;29-4-2014;457,72;FLIGHT;Vliegticket;7,24438E+12;21-12-2013;ZHIT6GM;AMS/ZRH/TLV/ZRH/AMS;LX;skyscanner.nl BNL Meta;AR1PxGqNEeOqCwBQVphBvw;8-5-2014;N;TLV
3;488097;29-4-2014;457,72;FLIGHT;Vliegticket;7,24438E+12;21-12-2013;ZHIT6GM;AMS/ZRH/TLV/ZRH/AMS;LX;skyscanner.nl BNL Meta;AR1PxGqNEeOqCwBQVphBvw;8-5-2014;N;TLV
3;488097;21-12-2013;35;OVERIGE;Boekingskosten;;;;;;;;21-12-2013;N;
3;488031;24-12-2013;112,06;FLIGHT;Vliegticket;1,25463E+12;21-12-2013;ZBUYK2M;RTM/LHR;BA;;;24-12-2013;N;LHR
3;488031;21-12-2013;28,5;OVERIGE;Boekingskosten;;;;;;;;21-12-2013;N;
3;488095;23-12-2013;187,66;FLIGHT;Vliegticket;L214633L002;21-12-2013;214633L;EIN/NYO/EIN;FR;;;29-12-2013;N;NYO
3;488095;21-12-2013;37;OVERIGE;Boekingskosten;;;;;;;;21-12-2013;N;
3;487992;2-1-2014;60,49;FLIGHT;Vliegticket;L214503L002;21-12-2013;214503L;AMS/TNG;3O;;;2-1-2014;N;TNG
3;487992;21-12-2013;13,75;REISVERZEKERING;KORTLOPENDE ANNULERINGSVERZEKE;;;;;;;;3-1-2014;N;
3;487992;21-12-2013;37;OVERIGE;Boekingskosten;;;;;;;;21-12-2013;N;
3;488026;31-12-2013;131,95;FLIGHT;Vliegticket;L214562L002;21-12-2013;214562L;AMS/ATH;HV;;;31-12-2013;N;ATH
3;488026;21-12-2013;6,99;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;21-12-2013;N;
3;488026;21-12-2013;37;OVERIGE;Boekingskosten;;;;;;;;21-12-2013;N;
3;488074;7-3-2014;222,3;AUTOHUUR;Autohuur;;;9801039;;;;;16-3-2014;N;
3;488074;7-3-2014;340,24;FLIGHT;Vliegticket;7,24438E+12;21-12-2013;ZGEB3DM;AMS/ZRH/TLV/MUC/AMS;LX;;;16-3-2014;N;TLV
3;488074;7-3-2014;340,24;FLIGHT;Vliegticket;7,24438E+12;21-12-2013;ZGEB3DM;AMS/ZRH/TLV/MUC/AMS;LX;;;16-3-2014;N;TLV
3;488074;7-3-2014;340,24;FLIGHT;Vliegticket;7,24438E+12;21-12-2013;ZGEB3DM;AMS/ZRH/TLV/MUC/AMS;LX;;;16-3-2014;N;TLV
3;488074;7-3-2014;20,97;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;7-3-2014;N;
3;488074;21-12-2013;25;OVERIGE;Boekingskosten;;;;;;;;21-12-2013;N;
3;487858;10-2-2014;-1.343,32;FLIGHT;Vliegticket;1,95463E+12;21-12-2013;YXWGXMM;AMS/LED/AER;FV;;;24-2-2014;W;AER
3;487858;24-2-2014;401,3;FLIGHT;Vliegticket;5,66463E+12;21-12-2013;YXWGXMM;AER/KBP/AMS;PS;;;24-2-2014;N;AMS
3;487858;10-2-2014;6,99;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;10-2-2014;W;
3;487858;20-12-2013;30;OVERIGE;Boekingskosten;;;;;;;;20-12-2013;W;
3;488075;30-3-2014;645,57;FLIGHT;Vliegticket;1,26463E+12;21-12-2013;ZFTCIMM;AMS/CGK/***/DPS/CGK/AMS;GA;;;26-4-2014;N;DPS
3;488075;30-3-2014;645,57;FLIGHT;Vliegticket;1,26463E+12;21-12-2013;ZFTCIMM;AMS/CGK/***/DPS/CGK/AMS;GA;;;26-4-2014;N;DPS
3;488075;21-12-2013;43;OVERIGE;Boekingskosten;;;;;;;;21-12-2013;N;
3;488029;19-1-2014;98,5;FLIGHT;Vliegticket;2,20438E+12;21-12-2013;ZCPF75M;AMS/MUC/AMS;LH;;;24-1-2014;N;MUC
3;488029;21-12-2013;31,48;OVERIGE;Boekingskosten;;;;;;;;21-12-2013;N;
3;487946;18-7-2014;270,9;FLIGHT;Vliegticket;2,57438E+12;21-12-2013;Y4U9S3M;AMS/VIE/TGD/VIE/AMS;OS;;;8-8-2014;N;TGD
3;487946;18-7-2014;270,9;FLIGHT;Vliegticket;2,57438E+12;21-12-2013;Y4U9S3M;AMS/VIE/TGD/VIE/AMS;OS;;;8-8-2014;N;TGD
3;487946;21-12-2013;38;OVERIGE;Boekingskosten;;;;;;;;21-12-2013;N;
3;488036;22-4-2014;124,95;FLIGHT;Vliegticket;L214571L002;21-12-2013;214571L;RTM/VIE/RTM;HV;;;25-4-2014;N;VIE
