Omzet per relatie / boekingstype;;;;;;;;;;;;;;;
Created on;21-12-2013;5:29:43;;;;;;;;;;;;;
Selectie;Factuurdatum;van;20-12-2013;Tot en met;20-12-2013;;;;;;;;;;
;;;;;;;;;;;;;;;
Bedrijf;Dossiernummer;Vertrekdatum;Bedrag;Boekingstype;Product type;Ticket nummer;Ticket uitgifte datum;PNR nummer;Ticket route;Luchtvaartmaatschappij;Boekingskanaal;Sub-kanaal;Einddatum segment;Nieuw/Wijziging/Annulering;Eindbestemming vlucht
3;487888;28-12-2013;535,51;FLIGHT;Vliegticket;6,18463E+12;20-12-2013;YZCWUJM;FRA/JFK;SQ;;;28-12-2013;N;JFK
3;487757;3-1-2014;794,51;FLIGHT;Vliegticket;7,24463E+12;20-12-2013;YEX3MMM;BUD/ZRH/TPA/ZRH/BUD;LX;;;7-6-2014;N;TPA
3;487757;3-1-2014;794,51;FLIGHT;Vliegticket;7,24463E+12;20-12-2013;YEX3MMM;BUD/ZRH/TPA/ZRH/BUD;LX;;;7-6-2014;N;TPA
3;487837;22-12-2013;250,91;FLIGHT;Vliegticket;L214388L002;20-12-2013;214388L;CRL/SDR;FR;;;22-12-2013;N;SDR
3;487837;20-12-2013;6,99;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;20-12-2013;N;
3;487837;20-12-2013;41,57;OVERIGE;Boekingskosten;;;;;;;;20-12-2013;N;
3;487900;1-4-2014;528,28;FLIGHT;Vliegticket;1,76463E+12;20-12-2013;YZJTPVM;AMS/DXB/CGK/DXB/AMS;EK;;;22-4-2014;N;CGK
3;487900;20-12-2013;6,99;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;20-12-2013;N;
3;487900;20-12-2013;48,41;OVERIGE;Boekingskosten;;;;;;;;20-12-2013;N;
3;487788;22-12-2013;91,63;FLIGHT;Vliegticket;L214328L002;20-12-2013;214328L;STN/EIN/STN;FR;;;4-1-2014;N;EIN
3;487788;20-12-2013;15,81;REISVERZEKERING;KORTLOPENDE ANNULERINGSVERZEKE;;;;;;;;5-1-2014;N;
3;487788;20-12-2013;37;OVERIGE;Boekingskosten;;;;;;;;20-12-2013;N;
3;487858;10-2-2014;1.758,51;FLIGHT;Vliegticket;AYXWGXMM002;20-12-2013;YXWGXMM;AMS/LED/AER/FRA/AMS;FV;;;24-2-2014;N;AER
3;487858;20-12-2013;6,99;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;20-12-2013;N;
3;487858;20-12-2013;29,5;OVERIGE;Boekingskosten;;;;;;;;20-12-2013;N;
3;487767;2-1-2014;794,58;FLIGHT;Vliegticket;2,20463E+12;20-12-2013;YOMC3NM;AMS/IAH/LAS/IAH/AMS;LH;;;10-1-2014;N;LAS
3;487767;20-12-2013;33,64;OVERIGE;Boekingskosten;;;;;;;;20-12-2013;N;
3;487759;30-12-2013;191,45;FLIGHT;Vliegticket;L214309L002;20-12-2013;214309L;RTM/EGC/RTM;HV;;;3-1-2014;N;EGC
3;487759;30-12-2013;147,45;FLIGHT;Vliegticket;L214309L004;20-12-2013;214309L;RTM/EGC/RTM;HV;;;3-1-2014;N;EGC
3;487759;30-12-2013;147,45;FLIGHT;Vliegticket;L214309L005;20-12-2013;214309L;RTM/EGC/RTM;HV;;;3-1-2014;N;EGC
3;487759;30-12-2013;147,45;FLIGHT;Vliegticket;L214309L003;20-12-2013;214309L;RTM/EGC/RTM;HV;;;3-1-2014;N;EGC
3;487759;20-12-2013;54,1;REISVERZEKERING;KORTLOPENDE ANNULERINGSVERZEKE;;;;;;;;4-1-2014;N;
3;487759;20-12-2013;70;OVERIGE;Boekingskosten;;;;;;;;20-12-2013;N;
3;487881;28-4-2014;173,88;FLIGHT;Vliegticket;64633980362;20-12-2013;YY8MZXM;ATL/DEN/ATL;DL;;;15-5-2014;N;DEN
3;487881;20-12-2013;35,19;OVERIGE;Boekingskosten;;;;;;;;20-12-2013;N;
3;487886;20-5-2014;133,98;FLIGHT;Vliegticket;L214423L002;20-12-2013;214423L;EIN/CLJ/EIN;W6;;;24-5-2014;N;CLJ
3;487886;20-12-2013;18,63;REISVERZEKERING;KORTLOPENDE ANNULERINGSVERZEKE;;;;;;;;25-5-2014;N;
3;487886;20-12-2013;37;OVERIGE;Boekingskosten;;;;;;;;20-12-2013;N;
3;487833;13-1-2014;212,55;FLIGHT;Vliegticket;1,17463E+12;20-12-2013;YUDPCTM;AMS/OSL/TRD/CPH/AMS;SK;;;14-1-2014;N;TRD
3;487833;20-12-2013;18,02;OVERIGE;Boekingskosten;;;;;;;;20-12-2013;N;
3;487809;19-4-2014;643,36;FLIGHT;Vliegticket;7,44634E+11;20-12-2013;YSKOSZM;DUS/AMS/GRU/CDG/DUS;KL;skyscanner.nl BNL Meta;d9kjxGlzEeOJKQBQVpBo4g;10-5-2014;N;GRU
3;487809;19-4-2014;643,36;FLIGHT;Vliegticket;7,44634E+11;20-12-2013;YSKOSZM;DUS/AMS/GRU/CDG/DUS;KL;skyscanner.nl BNL Meta;d9kjxGlzEeOJKQBQVpBo4g;10-5-2014;N;GRU
3;487809;19-4-2014;643,36;FLIGHT;Vliegticket;7,44634E+11;20-12-2013;YSKOSZM;DUS/AMS/GRU/CDG/DUS;KL;skyscanner.nl BNL Meta;d9kjxGlzEeOJKQBQVpBo4g;10-5-2014;N;GRU
3;487809;19-4-2014;643,36;FLIGHT;Vliegticket;7,44634E+11;20-12-2013;YSKOSZM;DUS/AMS/GRU/CDG/DUS;KL;skyscanner.nl BNL Meta;d9kjxGlzEeOJKQBQVpBo4g;10-5-2014;N;GRU
