Omzet per relatie / boekingstype;;;;;;;;;;;;;;;
Created on;25-12-2013;5:23:58;;;;;;;;;;;;;
Selectie;Factuurdatum;van;24-12-2013;Tot en met;24-12-2013;;;;;;;;;;
;;;;;;;;;;;;;;;
Bedrijf;Dossiernummer;Vertrekdatum;Bedrag;Boekingstype;Product type;Ticket nummer;Ticket uitgifte datum;PNR nummer;Ticket route;Luchtvaartmaatschappij;Boekingskanaal;Sub-kanaal;Einddatum segment;Nieuw/Wijziging/Annulering;Eindbestemming vlucht
3;488532;30-12-2013;168,35;FLIGHT;Vliegticket;8,80463E+12;24-12-2013;2FOSHBM;SIN/HAK/PVG;HU;;;31-12-2013;N;PVG
3;488531;30-12-2013;168,35;FLIGHT;Vliegticket;8,80463E+12;24-12-2013;2GTG59M;SIN/HAK/PVG;HU;;;31-12-2013;N;PVG
3;488530;30-12-2013;168,35;FLIGHT;Vliegticket;8,80463E+12;24-12-2013;2G99CSM;SIN/HAK/HFE;HU;;;31-12-2013;N;HFE
3;488675;4-1-2014;3.889,39;FLIGHT;Vliegticket;1,64634E+11;24-12-2013;2NSB3TM;VVO/ICN/SFO/MCO/LAX;UA;;;2-6-2014;N;MCO
3;488597;8-1-2014;185,35;FLIGHT;Vliegticket;8,80463E+12;24-12-2013;2I4N6PM;SIN/HAK/WUH;HU;;;9-1-2014;N;WUH
3;488612;11-1-2014;96,88;FLIGHT;Vliegticket;6,57463E+12;24-12-2013;2LPIK9M;KUN/RIX/TLL;BT;;;11-1-2014;N;TLL
3;488485;30-6-2014;553,12;FLIGHT;Vliegticket;1,05463E+12;24-12-2013;2DL44JM;SVX/HEL/JFK/HEL/SVX;AY;;;8-8-2014;N;JFK
3;488485;30-6-2014;553,12;FLIGHT;Vliegticket;1,05463E+12;24-12-2013;2DL44JM;SVX/HEL/JFK/HEL/SVX;AY;;;8-8-2014;N;JFK
3;488539;18-7-2014;824,6;AUTOHUUR;Autohuur;;;3501766;;;;;14-8-2014;N;
3;488539;18-7-2014;922,14;FLIGHT;Vliegticket;1,64634E+11;24-12-2013;2I72LDM;AMS/IAD/AMS;UA;;;15-8-2014;N;IAD
3;488539;18-7-2014;922,14;FLIGHT;Vliegticket;1,64634E+11;24-12-2013;2I72LDM;AMS/IAD/AMS;UA;;;15-8-2014;N;IAD
3;488539;24-12-2013;46;OVERIGE;Boekingskosten;;;;;;;;24-12-2013;N;
3;488548;22-1-2014;133,95;FLIGHT;Vliegticket;L215076L002;24-12-2013;215076L;AMS/ALC/AMS;HV;;;24-1-2014;N;ALC
3;488548;24-12-2013;39,65;OVERIGE;Boekingskosten;;;;;;;;24-12-2013;N;
3;488581;26-7-2014;144,82;FLIGHT;Vliegticket;L215119L002;24-12-2013;215119L;NRN/BZR/NRN;FR;;;9-8-2014;N;BZR
3;488581;26-7-2014;144,82;FLIGHT;Vliegticket;L215119L003;24-12-2013;215119L;NRN/BZR/NRN;FR;;;9-8-2014;N;BZR
3;488581;24-12-2013;53;OVERIGE;Boekingskosten;;;;;;;;24-12-2013;N;
3;488494;19-1-2014;94,95;FLIGHT;Vliegticket;L215020L002;24-12-2013;215020L;EIN/BLQ/EIN;HV;;;21-1-2014;N;BLQ
3;488494;19-1-2014;94,95;FLIGHT;Vliegticket;L215020L003;24-12-2013;215020L;EIN/BLQ/EIN;HV;;;21-1-2014;N;BLQ
3;488494;24-12-2013;23,43;REISVERZEKERING;KORTLOPENDE ANNULERINGSVERZEKE;;;;;;;;22-1-2014;N;
3;488494;19-1-2014;17,89;REISVERZEKERING;KORTLOPENDE REISVERZEKERING;;;;;;;;22-1-2014;N;
3;488494;24-12-2013;57,41;OVERIGE;Boekingskosten;;;;;;;;24-12-2013;N;
3;488634;26-12-2013;127,07;FLIGHT;Vliegticket;L215159L002;24-12-2013;215159L;AMS/TNG;3O;;;26-12-2013;N;TNG
3;488634;24-12-2013;37;OVERIGE;Boekingskosten;;;;;;;;24-12-2013;N;
3;488641;20-8-2014;48,77;FLIGHT;Vliegticket;7,44634E+11;24-12-2013;2LXNR9M;MRS/AMS;AF;;;20-8-2014;N;AMS
3;488641;24-12-2013;6,99;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;24-12-2013;N;
3;488641;24-12-2013;29,5;OVERIGE;Boekingskosten;;;;;;;;24-12-2013;N;
3;488672;25-6-2014;144,4;AUTOHUUR;Autohuur;;;68969;;;;;2-7-2014;N;
3;488672;25-6-2014;199;FLIGHT;Vliegticket;L215181L005;24-12-2013;215181L;AMS/IBZ/AMS;HV;;;2-7-2014;N;IBZ
3;488672;25-6-2014;199;FLIGHT;Vliegticket;L215181L006;24-12-2013;215181L;AMS/IBZ/AMS;HV;;;2-7-2014;N;IBZ
3;488672;24-12-2013;25;OVERIGE;Boekingskosten;;;;;;;;24-12-2013;N;
3;487046;26-6-2014;0;FLIGHT;Vliegticket;1,80463E+12;16-12-2013;6XCTBAM;AMS/ICN/SYD/ICN/AMS;KE;;;24-7-2014;W;SYD
3;487046;26-6-2014;0;FLIGHT;Vliegticket;1,80463E+12;16-12-2013;6XCTBAM;AMS/ICN/SYD/ICN/AMS;KE;;;24-7-2014;W;SYD
3;487046;26-6-2014;0;FLIGHT;Vliegticket;1,80463E+12;16-12-2013;6XCTBAM;AMS/ICN/SYD/ICN/AMS;KE;;;24-7-2014;W;SYD
3;487046;16-12-2013;0;REISVERZEKERING;KORTLOPENDE ANNULERINGSVERZEKE;;;;;;;;25-7-2014;W;
3;487046;16-12-2013;0;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;16-12-2013;W;
