Omzet per relatie / boekingstype;;;;;;;;;;;;;;;
Created on;24-12-2013;5:25:40;;;;;;;;;;;;;
Selectie;Factuurdatum;van;23-12-2013;Tot en met;23-12-2013;;;;;;;;;;
;;;;;;;;;;;;;;;
Bedrijf;Dossiernummer;Vertrekdatum;Bedrag;Boekingstype;Product type;Ticket nummer;Ticket uitgifte datum;PNR nummer;Ticket route;Luchtvaartmaatschappij;Boekingskanaal;Sub-kanaal;Einddatum segment;Nieuw/Wijziging/Annulering;Eindbestemming vlucht
3;487690;19-12-2013;1.000,00;FLIGHT;Aanbetaling groepsreizen;B0487690002;23-12-2013;      P;/No flight details;SN;;;19-12-2013;N;TLV
3;488417;11-1-2014;869,74;FLIGHT;Vliegticket;2,20463E+12;23-12-2013;Z9NBRSM;LED/FRA/SFO/***/EWR/DUS/LED;LH;;;9-2-2014;N;SFO
3;488406;25-12-2013;185,17;FLIGHT;Vliegticket;1,47463E+12;23-12-2013;Z9HYVIM;AMS/CMN;AT;;;25-12-2013;N;CMN
3;488406;23-12-2013;32,83;OVERIGE;Boekingskosten;;;;;;;;23-12-2013;N;
3;488427;9-1-2014;211,42;FLIGHT;Vliegticket;6,24463E+12;23-12-2013;Z9ZNLBM;AMS/SAW/IKA/SAW/AMS;PC;orbiville.nl;;31-1-2014;N;IKA
3;488427;9-1-2014;211,42;FLIGHT;Vliegticket;6,24463E+12;23-12-2013;Z9ZNLBM;AMS/SAW/IKA/SAW/AMS;PC;orbiville.nl;;31-1-2014;N;IKA
3;488427;23-12-2013;28,77;OVERIGE;Boekingskosten;;;;;;;;23-12-2013;N;
3;488384;11-1-2014;131,77;FLIGHT;Vliegticket;7,44634E+11;23-12-2013;Z8KQMHM;OSL/AMS/OSL;KL;;;16-1-2014;N;AMS
3;488384;23-12-2013;6,99;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;23-12-2013;N;
3;488384;23-12-2013;29,5;OVERIGE;Boekingskosten;;;;;;;;23-12-2013;N;
3;488269;8-1-2014;86,82;FLIGHT;Vliegticket;L214821L002;23-12-2013;214821L;AMS/STN/AMS;U2;;;8-1-2014;N;STN
3;488269;23-12-2013;22;OVERIGE;Boekingskosten;;;;;;;;23-12-2013;N;
3;488437;26-12-2013;165,04;FLIGHT;Vliegticket;2,20463E+12;23-12-2013;2A4R7MM;MUC/AMS/MUC;LH;skyscanner.nl BNL Meta;q6ZDrGwNEeOF5QBQVpAVGg;7-1-2014;N;AMS
3;488437;23-12-2013;6;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;23-12-2013;N;
3;488437;23-12-2013;7,5;OVERIGE;Boekingskosten;;;;;;;;23-12-2013;N;
3;488355;27-12-2013;172,17;FLIGHT;Vliegticket;2,35463E+12;23-12-2013;Z6XP2OM;AMS/IST;TK;skyscanner.nl BNL Meta;iVxvEGvHEeOHYABQVpB-NQ;28-12-2013;N;IST
3;488355;27-12-2013;172,17;FLIGHT;Vliegticket;2,35463E+12;23-12-2013;Z6XP2OM;AMS/IST;TK;skyscanner.nl BNL Meta;iVxvEGvHEeOHYABQVpB-NQ;28-12-2013;N;IST
3;488355;23-12-2013;15;OVERIGE;Boekingskosten;;;;;;;;23-12-2013;N;
3;488460;27-12-2013;217,08;FLIGHT;Vliegticket;2,35463E+12;23-12-2013;2APUF9M;AMS/IST/AMS;TK;skyscanner.nl BNL Meta;jYLukmwYEeOZ4QBQVpAtiw;9-1-2014;N;IST
3;488460;23-12-2013;7,5;OVERIGE;Boekingskosten;;;;;;;;23-12-2013;N;
3;488399;27-1-2014;139,95;FLIGHT;Vliegticket;L214956L002;23-12-2013;214956L;AMS/INN/AMS;HV;;;31-1-2014;N;INN
3;488399;23-12-2013;37;OVERIGE;Boekingskosten;;;;;;;;23-12-2013;N;
3;488282;9-1-2014;28,13;FLIGHT;Vliegticket;7,94635E+11;23-12-2013;ZZLHG6M;MNL/CEB;PR;kayak budgetair.nl;YAtbh_HeVpvoRuhkRvm55Q;9-1-2014;N;CEB
3;488282;23-12-2013;10,5;OVERIGE;Boekingskosten;;;;;;;;23-12-2013;N;
3;488363;27-7-2014;795,13;FLIGHT;Vliegticket;7,45463E+12;23-12-2013;Z7E69EM;DUS/AUH/BKK/HKT/AUH;AB;;;20-8-2014;N;HKT
3;488363;27-7-2014;795,13;FLIGHT;Vliegticket;7,45463E+12;23-12-2013;Z7E69EM;DUS/AUH/BKK/HKT/AUH;AB;;;20-8-2014;N;HKT
3;488363;23-12-2013;13,98;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;23-12-2013;N;
3;488363;23-12-2013;79;OVERIGE;Boekingskosten;;;;;;;;23-12-2013;N;
3;486000;18-12-2013;-390,55;AUTOHUUR;Autohuur;;;M485419;;;;;10-1-2014;W;
3;486000;18-12-2013;-446,18;FLIGHT;Vliegticket;1,64634E+11;9-12-2013;29WQC9M;AMS/ORD/LAX/IAH/AMS;UA;;;10-1-2014;A;LAX
3;486000;9-12-2013;50;OVERIGE;Boekingskosten;;;;;;;;9-12-2013;W;
3;488350;26-1-2014;94,05;AUTOHUUR;Autohuur;;;1424664;;;;;29-1-2014;N;
3;488350;26-1-2014;138,6;FLIGHT;Vliegticket;7,44634E+11;23-12-2013;Z6T9VFM;AMS/TLS/AMS;KL;;;29-1-2014;N;TLS
3;488350;23-12-2013;25;OVERIGE;Boekingskosten;;;;;;;;23-12-2013;N;
3;488357;16-1-2014;528,17;FLIGHT;Vliegticket;1,76463E+12;23-12-2013;Z5Q78PM;AMS/DXB/CGK/DXB/AMS;EK;;;7-2-2014;N;CGK
