Omzet per relatie / boekingstype;;;;;;;;;;;;;;;
Created on;30-12-2013;5:19:05;;;;;;;;;;;;;
Selectie;Factuurdatum;van;29-12-2013;Tot en met;29-12-2013;;;;;;;;;;
;;;;;;;;;;;;;;;
Bedrijf;Dossiernummer;Vertrekdatum;Bedrag;Boekingstype;Product type;Ticket nummer;Ticket uitgifte datum;PNR nummer;Ticket route;Luchtvaartmaatschappij;Boekingskanaal;Sub-kanaal;Einddatum segment;Nieuw/Wijziging/Annulering;Eindbestemming vlucht
3;489358;4-1-2014;536,72;FLIGHT;Vliegticket;6,18463E+12;29-12-2013;4BIGAGM;FRA/JFK;SQ;;;4-1-2014;N;JFK
3;489282;10-3-2014;143,11;FLIGHT;Vliegticket;5,54634E+11;29-12-2013;343XSMM;FCO/CTA/***/PMO/FCO;AZ;;;15-3-2014;N;CTA
3;489282;10-3-2014;143,11;FLIGHT;Vliegticket;5,54634E+11;29-12-2013;343XSMM;FCO/CTA/***/PMO/FCO;AZ;;;15-3-2014;N;CTA
3;489373;11-4-2014;598,14;FLIGHT;Vliegticket;7,44634E+11;29-12-2013;4ATBAYM;AMS/JFK/AMS;KL;;;15-4-2014;N;JFK
3;489373;11-4-2014;598,14;FLIGHT;Vliegticket;7,44634E+11;29-12-2013;4ATBAYM;AMS/JFK/AMS;KL;;;15-4-2014;N;JFK
3;489373;29-12-2013;13,98;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;29-12-2013;N;
3;489373;29-12-2013;43;OVERIGE;Boekingskosten;;;;;;;;29-12-2013;N;
3;489286;9-2-2014;623,41;FLIGHT;Vliegticket;2,32463E+12;29-12-2013;352XFQM;AMS/KUL/BKK/KUL/AMS;MH;skyscanner.nl BNL Meta;cAdXsHAmEeO76QBQVpB-Lw;25-3-2014;N;BKK
3;489286;29-12-2013;7;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;29-12-2013;N;
3;489286;29-12-2013;17,5;OVERIGE;Boekingskosten;;;;;;;;29-12-2013;N;
3;489423;2-1-2014;124,77;FLIGHT;Vliegticket;4,74634E+11;29-12-2013;4EE4RQM;AMS/LIS/MAD;TP;Jetcost.nl;FNL652c07eb1685ad;2-1-2014;N;MAD
3;489423;29-12-2013;7,5;OVERIGE;Boekingskosten;;;;;;;;29-12-2013;N;
3;489332;18-4-2014;575,91;FLIGHT;Vliegticket;1,25463E+12;29-12-2013;4A83YNM;AMS/LHR/YYZ/LHR/AMS;BA;;;6-5-2014;N;YYZ
3;489332;18-4-2014;575,91;FLIGHT;Vliegticket;1,25463E+12;29-12-2013;4A83YNM;AMS/LHR/YYZ/LHR/AMS;BA;;;6-5-2014;N;YYZ
3;489332;29-12-2013;23;OVERIGE;Boekingskosten;;;;;;;;29-12-2013;N;
3;489301;28-2-2014;494,22;FLIGHT;Vliegticket;1,08463E+12;29-12-2013;39RRV2M;AMS/KEF/AMS;FI;;;10-3-2014;N;KEF
3;489301;28-2-2014;494,22;FLIGHT;Vliegticket;1,08463E+12;29-12-2013;39RRV2M;AMS/KEF/AMS;FI;;;10-3-2014;N;KEF
3;489301;29-12-2013;38;OVERIGE;Boekingskosten;;;;;;;;29-12-2013;N;
3;489410;8-7-2014;993,09;FLIGHT;Vliegticket;7,44634E+11;29-12-2013;4DRTRRM;AMS/MNL/AMS;KL;skyscanner.nl BNL Meta;3aOrsHC4EeOj2gBQVpB-Mw;3-8-2014;N;MNL
3;489410;8-7-2014;993,09;FLIGHT;Vliegticket;7,44634E+11;29-12-2013;4DRTRRM;AMS/MNL/AMS;KL;skyscanner.nl BNL Meta;3aOrsHC4EeOj2gBQVpB-Mw;3-8-2014;N;MNL
3;489410;8-7-2014;993,09;FLIGHT;Vliegticket;7,44634E+11;29-12-2013;4DRTRRM;AMS/MNL/AMS;KL;skyscanner.nl BNL Meta;3aOrsHC4EeOj2gBQVpB-Mw;3-8-2014;N;MNL
3;489410;8-7-2014;825,09;FLIGHT;Vliegticket;7,44634E+11;29-12-2013;4DRTRRM;AMS/MNL/AMS;KL;skyscanner.nl BNL Meta;3aOrsHC4EeOj2gBQVpB-Mw;3-8-2014;N;MNL
3;489410;29-12-2013;70;OVERIGE;Boekingskosten;;;;;;;;29-12-2013;N;
3;489299;7-3-2014;634,03;FLIGHT;Vliegticket;1,76463E+12;29-12-2013;2VJRRZM;AMS/DXB/HKT/***/BKK/DXB/AMS;EK;;;29-3-2014;N;HKT
3;489299;29-12-2013;19,5;OVERIGE;Boekingskosten;;;;;;;;29-12-2013;N;
3;489376;30-12-2013;472,51;FLIGHT;Vliegticket;1,76463E+12;29-12-2013;4CQTALM;AMS/DXB/AMS;EK;skyscanner.nl BNL Meta;VJBDqHCdEeOMqABQVpBbRw;13-1-2014;N;DXB
3;489376;29-12-2013;6;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;29-12-2013;N;
3;489376;29-12-2013;5;OVERIGE;Boekingskosten;;;;;;;;29-12-2013;N;
3;489283;26-7-2014;246,52;FLIGHT;Vliegticket;7,44634E+11;29-12-2013;349UGPM;AMS/IST/AMS;KL;Jetcost.nl;FNL652bf52761e34f;13-8-2014;N;IST
3;489283;29-12-2013;6;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;29-12-2013;N;
3;489283;29-12-2013;7,5;OVERIGE;Boekingskosten;;;;;;;;29-12-2013;N;
3;489436;31-1-2014;641,64;FLIGHT;Vliegticket;7,44634E+11;29-12-2013;4E27CBM;AMS/YYC/AMS;KL;;;8-2-2014;N;YYC
3;489436;29-12-2013;32;OVERIGE;Boekingskosten;;;;;;;;29-12-2013;N;
