Omzet per relatie / boekingstype;;;;;;;;;;;;;;;
Created on;6-1-2014;5:13:58;;;;;;;;;;;;;
Selectie;Factuurdatum;van;5-1-2014;Tot en met;5-1-2014;;;;;;;;;;
;;;;;;;;;;;;;;;
Bedrijf;Dossiernummer;Vertrekdatum;Bedrag;Boekingstype;Product type;Ticket nummer;Ticket uitgifte datum;PNR nummer;Ticket route;Luchtvaartmaatschappij;Boekingskanaal;Sub-kanaal;Einddatum segment;Nieuw/Wijziging/Annulering;Eindbestemming vlucht
3;490527;19-1-2014;3.030,80;FLIGHT;Vliegticket;6,18463E+12;5-1-2014;6ZP79QM;BCN/SIN/HKT/SIN/BCN;SQ;;;25-1-2014;N;HKT
3;490739;10-2-2014;1.070,17;FLIGHT;Vliegticket;2,17463E+12;5-1-2014;7CI66LM;FRA/BKK/FRA;TG;;;24-2-2014;N;BKK
3;490533;30-5-2014;47,4;FLIGHT;Vliegticket;5,54634E+11;5-1-2014;627ESGM;FCO/VCE;AZ;;;30-5-2014;N;VCE
3;490533;30-5-2014;47,4;FLIGHT;Vliegticket;5,54634E+11;5-1-2014;627ESGM;FCO/VCE;AZ;;;30-5-2014;N;VCE
3;490688;20-2-2014;165,96;FLIGHT;Vliegticket;L217159L002;5-1-2014;217159L;AMS/TNG/AMS;3O;;;16-3-2014;N;TNG
3;490688;5-1-2014;6;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;5-1-2014;N;
3;490688;5-1-2014;31,5;OVERIGE;Boekingskosten;;;;;;;;5-1-2014;N;
3;490549;1-3-2014;252,81;FLIGHT;Vliegticket;6,24463E+12;5-1-2014;669GPXM;AMS/SAW/BEY/SAW/AMS;PC;skyscanner.nl BNL Meta;KdPcznXyEeOfzgBQVpgVrQ;15-3-2014;N;BEY
3;490549;5-1-2014;17,5;OVERIGE;Boekingskosten;;;;;;;;5-1-2014;N;
3;490569;21-1-2014;186,54;FLIGHT;Vliegticket;2,17463E+12;5-1-2014;ZFCDTZM;BKK/CNX/***/CEI/BKK;TG;;;30-1-2014;N;CEI
3;490526;6-1-2014;94,59;FLIGHT;Vliegticket;5,64463E+12;5-1-2014;62H49XM;DUS/ADB;XQ;skyscanner.nl BNL Meta;7XZ3IHWQEeO3HgBQVpB-Lw;6-1-2014;N;ADB
3;490526;5-1-2014;7,5;OVERIGE;Boekingskosten;;;;;;;;5-1-2014;N;
3;490541;13-3-2014;680,03;FLIGHT;Vliegticket;2,97463E+12;5-1-2014;66EGKWM;AMS/BKK/AMS;CI;;;21-3-2014;N;BKK
3;490541;5-1-2014;55,08;REISVERZEKERING;KORTLOPENDE ANNULERINGSVERZEKE;;;;;;;;22-3-2014;N;
3;490541;5-1-2014;38,5;OVERIGE;Boekingskosten;;;;;;;;5-1-2014;N;
3;490557;13-10-2014;539,35;FLIGHT;Vliegticket;2,32463E+12;5-1-2014;67NGABM;AMS/KUL/KTM;MH;skyscanner.nl BNL Meta;2kHZznX5EeOrXQBQVpBo4g;14-10-2014;N;KTM
3;490557;5-1-2014;17,5;OVERIGE;Boekingskosten;;;;;;;;5-1-2014;N;
3;490712;7-2-2014;166,78;FLIGHT;Vliegticket;7,44634E+11;5-1-2014;7CD3JCM;AMS/MAD/AMS;KL;;;11-2-2014;N;MAD
3;490709;7-2-2014;166,78;FLIGHT;Vliegticket;7,44634E+11;5-1-2014;7B8I3NM;AMS/MAD/AMS;KL;;;9-2-2014;N;MAD
3;490709;5-1-2014;28,5;OVERIGE;Boekingskosten;;;;;;;;5-1-2014;N;
3;490712;5-1-2014;28,5;OVERIGE;Boekingskosten;;;;;;;;5-1-2014;N;
3;490743;25-9-2014;546,33;FLIGHT;Vliegticket;2,20463E+12;5-1-2014;7DEUCVM;AMS/EWR/AMS;LH;skyscanner.nl BNL Meta;hIl4jHZLEeOGMgBQVpAtiw;30-9-2014;N;EWR
3;490743;25-9-2014;546,33;FLIGHT;Vliegticket;2,20463E+12;5-1-2014;7DEUCVM;AMS/EWR/AMS;LH;skyscanner.nl BNL Meta;hIl4jHZLEeOGMgBQVpAtiw;30-9-2014;N;EWR
3;490743;25-9-2014;546,33;FLIGHT;Vliegticket;2,20463E+12;5-1-2014;7DEUCVM;AMS/EWR/AMS;LH;skyscanner.nl BNL Meta;hIl4jHZLEeOGMgBQVpAtiw;30-9-2014;N;EWR
3;490743;25-9-2014;546,33;FLIGHT;Vliegticket;2,20463E+12;5-1-2014;7DEUCVM;AMS/EWR/AMS;LH;skyscanner.nl BNL Meta;hIl4jHZLEeOGMgBQVpAtiw;30-9-2014;N;EWR
3;490743;5-1-2014;70;OVERIGE;Boekingskosten;;;;;;;;5-1-2014;N;
3;490562;27-6-2014;82,6;FLIGHT;Vliegticket;L217085L004;5-1-2014;217085L;NRN/AOI/NRN;FR;;;7-7-2014;N;AOI
3;490562;27-6-2014;158,3;FLIGHT;Vliegticket;L217085L002;5-1-2014;217085L;NRN/AOI/NRN;FR;;;7-7-2014;N;AOI
3;490562;27-6-2014;82,6;FLIGHT;Vliegticket;L217085L003;5-1-2014;217085L;NRN/AOI/NRN;FR;;;7-7-2014;N;AOI
3;490562;27-6-2014;82,6;FLIGHT;Vliegticket;L217085L005;5-1-2014;217085L;NRN/AOI/NRN;FR;;;7-7-2014;N;AOI
3;490562;5-1-2014;81;OVERIGE;Boekingskosten;;;;;;;;5-1-2014;N;
3;490682;30-1-2014;386,67;FLIGHT;Vliegticket;1,69463E+12;5-1-2014;7BZKB2M;ORY/PTP;SS;skyscanner.nl BNL Meta;laAq-nY1EeOHvwBQVpB-SA;30-1-2014;N;PTP
