Omzet per relatie / boekingstype;;;;;;;;;;;;;;;
Created on;15-12-2013;5:29:17;;;;;;;;;;;;;
Selectie;Factuurdatum;van;14-12-2013;Tot en met;14-12-2013;;;;;;;;;;
;;;;;;;;;;;;;;;
Bedrijf;Dossiernummer;Vertrekdatum;Bedrag;Boekingstype;Product type;Ticket nummer;Ticket uitgifte datum;PNR nummer;Ticket route;Luchtvaartmaatschappij;Boekingskanaal;Sub-kanaal;Einddatum segment;Nieuw/Wijziging/Annulering;Eindbestemming vlucht
3;486823;22-12-2013;1.307,21;FLIGHT;Vliegticket;8,24634E+11;14-12-2013;6CGJKTM;GVA/BRU/IAD/SFO/EWR;SN;;;5-1-2014;N;SFO
3;486744;27-12-2013;1.071,83;FLIGHT;Vliegticket;7,45463E+12;14-12-2013;547WHYM;DME/DUS/ORD/MCO/JFK;AB;;;26-1-2014;N;MCO
3;486749;22-12-2013;177,49;FLIGHT;Vliegticket;L213274L002;14-12-2013;213274L;AMS/LGW/AMS;U2;;;26-12-2013;N;LGW
3;486749;14-12-2013;37;OVERIGE;Boekingskosten;;;;;;;;14-12-2013;N;
3;486740;19-3-2014;202,42;FLIGHT;Vliegticket;6,24463E+12;14-12-2013;52CVNFM;AMS/SAW/IKA/SAW/AMS;PC;skyscanner.nl BNL Meta;cnfG8mRKEeOKYABQVpBo4g;11-4-2014;N;IKA
3;486740;19-3-2014;202,42;FLIGHT;Vliegticket;6,24463E+12;14-12-2013;52CVNFM;AMS/SAW/IKA/SAW/AMS;PC;skyscanner.nl BNL Meta;cnfG8mRKEeOKYABQVpBo4g;11-4-2014;N;IKA
3;486740;14-12-2013;60;OVERIGE;Boekingskosten;;;;;;;;14-12-2013;N;
3;486753;17-12-2013;1.824,39;FLIGHT;Vliegticket;6,18463E+12;14-12-2013;56GRRLM;AMS/SIN/MEL/SIN/AMS;SQ;;;18-2-2014;N;MEL
3;486753;14-12-2013;65,5;OVERIGE;Boekingskosten;;;;;;;;14-12-2013;N;
3;486804;6-7-2014;456,52;FLIGHT;Vliegticket;1,08463E+12;14-12-2013;6BAHW7M;AMS/KEF/JFK;FI;;;6-7-2014;N;JFK
3;486804;14-12-2013;6,99;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;14-12-2013;N;
3;486804;14-12-2013;32;OVERIGE;Boekingskosten;;;;;;;;14-12-2013;N;
3;486765;19-6-2014;113,61;FLIGHT;Vliegticket;9,57463E+12;14-12-2013;57ND4XM;CNF/SDU/***/GIG/VCP;JJ;Idealo.nl account;;23-6-2014;N;VCP
3;486765;14-12-2013;6;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;14-12-2013;N;
3;486765;14-12-2013;32,62;OVERIGE;Boekingskosten;;;;;;;;14-12-2013;N;
3;486820;20-12-2013;112,18;FLIGHT;Vliegticket;L213368L002;14-12-2013;213368L;EIN/STN/EIN;FR;;;23-12-2013;N;STN
3;486820;20-12-2013;112,18;FLIGHT;Vliegticket;L213368L003;14-12-2013;213368L;EIN/STN/EIN;FR;;;23-12-2013;N;STN
3;486820;14-12-2013;53;OVERIGE;Boekingskosten;;;;;;;;14-12-2013;N;
3;486839;25-3-2014;26,6;AUTOHUUR;Autohuur;;;R13-330;;;;;29-3-2014;N;
3;486839;25-3-2014;114,28;FLIGHT;Vliegticket;L213389L005;14-12-2013;213389L;NRN/PMI/NRN;FR;;;29-3-2014;N;PMI
3;486839;25-3-2014;79,54;FLIGHT;Vliegticket;L213389L006;14-12-2013;213389L;NRN/PMI/NRN;FR;;;29-3-2014;N;PMI
3;486839;14-12-2013;29,08;REISVERZEKERING;KORTLOPENDE ANNULERINGSVERZEKE;;;;;;;;30-3-2014;N;
3;486839;14-12-2013;29,75;OVERIGE;Boekingskosten;;;;;;;;14-12-2013;N;
3;486756;22-6-2014;234,43;FLIGHT;Vliegticket;7,44634E+11;14-12-2013;57B2MCM;AMS/ATH/AMS;KL;;;25-6-2014;N;ATH
3;486756;14-12-2013;6,99;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;14-12-2013;N;
3;486756;14-12-2013;29,5;OVERIGE;Boekingskosten;;;;;;;;14-12-2013;N;
3;486802;15-12-2013;148,9;FLIGHT;Vliegticket;L213358L002;14-12-2013;213358L;EIN/DUB/EIN;FR;;;16-12-2013;N;DUB
3;486802;14-12-2013;37;OVERIGE;Boekingskosten;;;;;;;;14-12-2013;N;
3;486805;27-1-2014;940,43;FLIGHT;Vliegticket;1,76463E+12;14-12-2013;6BEKOTM;AMS/DXB/HKG/DXB/AMS;EK;;;1-2-2014;N;HKG
3;486805;14-12-2013;54,69;OVERIGE;Boekingskosten;;;;;;;;14-12-2013;N;
3;486810;16-12-2013;712,05;FLIGHT;Vliegticket;1,76463E+12;14-12-2013;6BL58TM;AMS/DXB/BKK/DXB/AMS;EK;skyscanner.nl BNL Meta;o6Fl5mTjEeOkuwBQVpBj5Q;31-12-2013;N;BKK
3;486810;14-12-2013;8;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;14-12-2013;N;
3;486810;14-12-2013;30;OVERIGE;Boekingskosten;;;;;;;;14-12-2013;N;
3;486846;2-3-2014;783,39;FLIGHT;Vliegticket;7,44634E+11;14-12-2013;6DJUSMM;AMS/BON/CUR/AMS;KL;;;16-3-2014;N;CUR
3;486846;2-3-2014;783,39;FLIGHT;Vliegticket;7,44634E+11;14-12-2013;6DJUSMM;AMS/BON/CUR/AMS;KL;;;16-3-2014;N;CUR
3;486846;14-12-2013;53;OVERIGE;Boekingskosten;;;;;;;;14-12-2013;N;
