Omzet per relatie / boekingstype;;;;;;;;;;;;;;;
Created on;17-12-2013;5:24:48;;;;;;;;;;;;;
Selectie;Factuurdatum;van;16-12-2013;Tot en met;16-12-2013;;;;;;;;;;
;;;;;;;;;;;;;;;
Bedrijf;Dossiernummer;Vertrekdatum;Bedrag;Boekingstype;Product type;Ticket nummer;Ticket uitgifte datum;PNR nummer;Ticket route;Luchtvaartmaatschappij;Boekingskanaal;Sub-kanaal;Einddatum segment;Nieuw/Wijziging/Annulering;Eindbestemming vlucht
3;486036;23-12-2013;-21,54;FLIGHT;Vliegticket;1,17463E+12;9-12-2013;3ANAVSM;ARN/KRN;SK;;;23-12-2013;W;KRN
3;487090;14-1-2014;127,62;FLIGHT;Vliegticket;5,54317E+11;16-12-2013;6J2XD9M;MXP/FCO/VCE;AZ;;;17-1-2014;N;FCO
3;487090;14-1-2014;127,62;FLIGHT;Vliegticket;5,54317E+11;16-12-2013;6J2XD9M;MXP/FCO/VCE;AZ;;;17-1-2014;N;FCO
3;487152;9-5-2014;255,93;FLIGHT;Vliegticket;5,34634E+11;16-12-2013;69KYCUM;BRS/DUB/CDG;EI;;;12-5-2014;N;CDG
3;487152;9-5-2014;255,93;FLIGHT;Vliegticket;5,34634E+11;16-12-2013;69KYCUM;BRS/DUB/CDG;EI;;;12-5-2014;N;CDG
3;487105;21-12-2013;685,88;FLIGHT;Vliegticket;2,35463E+12;16-12-2013;647V3SM;AMS/IST/BGW/IST/AMS;TK;skyscanner.nl BNL Meta;U0hRDGZcEeOnQABQVpAoHw;8-1-2014;N;BGW
3;487105;16-12-2013;30;OVERIGE;Boekingskosten;;;;;;;;16-12-2013;N;
3;487046;26-6-2014;989,28;FLIGHT;Vliegticket;1,80463E+12;16-12-2013;6XCTBAM;AMS/ICN/SYD/ICN/AMS;KE;;;24-7-2014;N;SYD
3;487046;26-6-2014;989,28;FLIGHT;Vliegticket;1,80463E+12;16-12-2013;6XCTBAM;AMS/ICN/SYD/ICN/AMS;KE;;;24-7-2014;N;SYD
3;487046;26-6-2014;989,28;FLIGHT;Vliegticket;1,80463E+12;16-12-2013;6XCTBAM;AMS/ICN/SYD/ICN/AMS;KE;;;24-7-2014;N;SYD
3;487046;16-12-2013;210,85;REISVERZEKERING;KORTLOPENDE ANNULERINGSVERZEKE;;;;;;;;25-7-2014;N;
3;487046;16-12-2013;20,97;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;16-12-2013;N;
3;487046;16-12-2013;91,5;OVERIGE;Boekingskosten;;;;;;;;16-12-2013;N;
3;487026;15-5-2014;70,36;FLIGHT;Vliegticket;L213542L002;15-12-2013;213542L;BRU/BCN/BRU;FR;;;20-5-2014;N;BCN
3;487026;15-5-2014;70,36;FLIGHT;Vliegticket;L213542L004;15-12-2013;213542L;BRU/BCN/BRU;FR;;;20-5-2014;N;BCN
3;487026;15-5-2014;70,36;FLIGHT;Vliegticket;L213542L005;15-12-2013;213542L;BRU/BCN/BRU;FR;;;20-5-2014;N;BCN
3;487026;15-5-2014;70,36;FLIGHT;Vliegticket;L213542L003;15-12-2013;213542L;BRU/BCN/BRU;FR;;;20-5-2014;N;BCN
3;487026;15-12-2013;85;OVERIGE;Boekingskosten;;;;;;;;15-12-2013;N;
3;487075;11-1-2014;653,57;FLIGHT;Vliegticket;2,20463E+12;16-12-2013;62P3SNM;AMS/ORD/MCO/IAH/AMS;LH;;;3-2-2014;N;MCO
3;487075;16-12-2013;52,89;REISVERZEKERING;KORTLOPENDE ANNULERINGSVERZEKE;;;;;;;;5-2-2014;N;
3;487075;16-12-2013;43,45;OVERIGE;Boekingskosten;;;;;;;;16-12-2013;N;
3;487107;24-5-2014;126,56;FLIGHT;Vliegticket;L213641L003;16-12-2013;213641L;AMS/FCO/AMS;U2;;;3-6-2014;N;FCO
3;487107;24-5-2014;170,34;FLIGHT;Vliegticket;L213641L002;16-12-2013;213641L;AMS/FCO/AMS;U2;;;3-6-2014;N;FCO
3;487107;16-12-2013;13,98;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;16-12-2013;N;
3;487107;16-12-2013;30,54;REISVERZEKERING;KORTLOPENDE ANNULERINGSVERZEKE;;;;;;;;4-6-2014;N;
3;487107;16-12-2013;53;OVERIGE;Boekingskosten;;;;;;;;16-12-2013;N;
3;487037;31-1-2014;177,42;FLIGHT;Vliegticket;6,24463E+12;16-12-2013;6TGI8LM;AMS/SAW/IKA/SAW/AMS;PC;Skyscanner - Mobile apps;0RdcdGYeEeOrkABQVpB-MA;11-2-2014;N;IKA
3;487037;16-12-2013;6;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;16-12-2013;N;
3;487037;16-12-2013;33,73;OVERIGE;Boekingskosten;;;;;;;;16-12-2013;N;
3;487158;19-12-2013;198,08;FLIGHT;Vliegticket;L213721L002;16-12-2013;213721L;AMS/BCN/AMS;VY;;;20-12-2013;N;BCN
3;487158;16-12-2013;40,64;OVERIGE;Boekingskosten;;;;;;;;16-12-2013;N;
3;487059;17-7-2014;561,39;FLIGHT;Vliegticket;2,35463E+12;16-12-2013;6Y42HOM;BRU/IST/DEL/IST/BRU;TK;;;12-8-2014;N;DEL
3;487059;17-7-2014;561,39;FLIGHT;Vliegticket;2,35463E+12;16-12-2013;6Y42HOM;BRU/IST/DEL/IST/BRU;TK;;;12-8-2014;N;DEL
3;487059;17-7-2014;561,39;FLIGHT;Vliegticket;2,35463E+12;16-12-2013;6Y42HOM;BRU/IST/DEL/IST/BRU;TK;;;12-8-2014;N;DEL
