Omzet per relatie / boekingstype;;;;;;;;;;;;;;;
Created on;14-12-2013;5:30:50;;;;;;;;;;;;;
Selectie;Factuurdatum;van;13-12-2013;Tot en met;13-12-2013;;;;;;;;;;
;;;;;;;;;;;;;;;
Bedrijf;Dossiernummer;Vertrekdatum;Bedrag;Boekingstype;Product type;Ticket nummer;Ticket uitgifte datum;PNR nummer;Ticket route;Luchtvaartmaatschappij;Boekingskanaal;Sub-kanaal;Einddatum segment;Nieuw/Wijziging/Annulering;Eindbestemming vlucht
3;486647;25-12-2013;2.118,16;FLIGHT;Vliegticket;1,80463E+12;13-12-2013;5QZ6G4M;WAW/CDG/ICN/HNL;KE;;;26-12-2013;N;HNL
3;486588;9-2-2014;187;FLIGHT;Vliegticket;1,95463E+12;13-12-2013;5D3BEYM;LED/AMS;FV;;;9-2-2014;N;AMS
3;486588;9-2-2014;187;FLIGHT;Vliegticket;1,95463E+12;13-12-2013;5D3BEYM;LED/AMS;FV;;;9-2-2014;N;AMS
3;486588;9-2-2014;187;FLIGHT;Vliegticket;1,95463E+12;13-12-2013;5D3BEYM;LED/AMS;FV;;;9-2-2014;N;AMS
3;486712;31-5-2014;562,23;FLIGHT;Vliegticket;5,89463E+12;13-12-2013;5X6BFQM;BRU/EWR/BRU;9W;;;23-6-2014;N;EWR
3;486712;31-5-2014;562,23;FLIGHT;Vliegticket;5,89463E+12;13-12-2013;5X6BFQM;BRU/EWR/BRU;9W;;;23-6-2014;N;EWR
3;486591;22-12-2013;160,91;FLIGHT;Vliegticket;2,35463E+12;13-12-2013;5HNN5UM;IST/AMS;TK;;;22-12-2013;N;AMS
3;486591;13-12-2013;28,5;OVERIGE;Boekingskosten;;;;;;;;13-12-2013;N;
3;486682;17-2-2014;128,98;FLIGHT;Vliegticket;7,44634E+11;13-12-2013;5WFK2XM;AMS/FCO/AMS;KL;;;22-2-2014;N;FCO
3;486682;17-2-2014;128,98;FLIGHT;Vliegticket;7,44634E+11;13-12-2013;5WFK2XM;AMS/FCO/AMS;KL;;;22-2-2014;N;FCO
3;486682;17-2-2014;128,98;FLIGHT;Vliegticket;7,44634E+11;13-12-2013;5WFK2XM;AMS/FCO/AMS;KL;;;22-2-2014;N;FCO
3;486682;17-2-2014;128,98;FLIGHT;Vliegticket;7,44634E+11;13-12-2013;5WFK2XM;AMS/FCO/AMS;KL;;;22-2-2014;N;FCO
3;486682;13-12-2013;27,96;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;13-12-2013;N;
3;486682;17-2-2014;52,4;REISVERZEKERING;KORTLOPENDE REISVERZEKERING;;;;;;;;23-2-2014;N;
3;486682;13-12-2013;55;OVERIGE;Boekingskosten;;;;;;;;13-12-2013;N;
3;486619;5-2-2014;196,94;FLIGHT;Vliegticket;L213106L002;13-12-2013;213106L;AMS/SXF/AMS;U2;;;6-2-2014;N;SXF
3;486619;5-2-2014;196,94;FLIGHT;Vliegticket;L213106L003;13-12-2013;213106L;AMS/SXF/AMS;U2;;;6-2-2014;N;SXF
3;486619;13-12-2013;59,93;OVERIGE;Boekingskosten;;;;;;;;13-12-2013;N;
3;486720;1-1-2014;203,98;FLIGHT;Vliegticket;L213231L002;13-12-2013;213231L;EIN/SKP/EIN;W6;;;8-1-2014;N;SKP
3;486720;13-12-2013;37;OVERIGE;Boekingskosten;;;;;;;;13-12-2013;N;
3;486659;3-2-2014;122,97;FLIGHT;Vliegticket;1,25463E+12;13-12-2013;5S2WZBM;AMS/LCY/AMS;BA;skyscanner.nl BNL Meta;iGbsvGQFEeOsJwBQVpArCA;5-2-2014;N;LCY
3;486659;13-12-2013;6;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;13-12-2013;N;
3;486659;13-12-2013;20;OVERIGE;Boekingskosten;;;;;;;;13-12-2013;N;
3;486634;24-2-2014;819,13;FLIGHT;Vliegticket;6,18463E+12;13-12-2013;5OFHLRM;AMS/SIN/DPS/SIN/AMS;SQ;;;12-3-2014;N;DPS
3;486634;13-12-2013;6,99;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;13-12-2013;N;
3;486634;13-12-2013;64,4;REISVERZEKERING;KORTLOPENDE ANNULERINGSVERZEKE;;;;;;;;14-3-2014;N;
3;486634;24-2-2014;60,26;REISVERZEKERING;KORTLOPENDE REISVERZEKERING;;;;;;;;14-3-2014;N;
3;486634;13-12-2013;39,5;OVERIGE;Boekingskosten;;;;;;;;13-12-2013;N;
3;486728;27-12-2013;221,46;FLIGHT;Vliegticket;L213240L002;13-12-2013;213240L;MST/STN/MST;FR;;;30-12-2013;N;STN
3;486728;27-12-2013;221,46;FLIGHT;Vliegticket;L213240L003;13-12-2013;213240L;MST/STN/MST;FR;;;30-12-2013;N;STN
3;486728;13-12-2013;53;OVERIGE;Boekingskosten;;;;;;;;13-12-2013;N;
3;486711;28-3-2014;591,84;FLIGHT;Vliegticket;1,64634E+11;13-12-2013;5YRZ9FM;AMS/IAH/MGA/IAH/AMS;UA;;;13-4-2014;N;MGA
3;486711;13-12-2013;6,99;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;13-12-2013;N;
3;486711;13-12-2013;46,86;OVERIGE;Boekingskosten;;;;;;;;13-12-2013;N;
3;486653;8-1-2014;33,25;AUTOHUUR;Autohuur;;;4205240;;;;;15-1-2014;N;
3;486653;8-1-2014;104;FLIGHT;Vliegticket;L213151L005;13-12-2013;213151L;RTM/ALC/RTM;HV;;;15-1-2014;N;ALC
3;486653;8-1-2014;104;FLIGHT;Vliegticket;L213151L006;13-12-2013;213151L;RTM/ALC/RTM;HV;;;15-1-2014;N;ALC
