Omzet per relatie / boekingstype;;;;;;;;;;;;;;;
Created on;2-1-2014;5:15:13;;;;;;;;;;;;;
Selectie;Factuurdatum;van;1-1-2014;Tot en met;1-1-2014;;;;;;;;;;
;;;;;;;;;;;;;;;
Bedrijf;Dossiernummer;Vertrekdatum;Bedrag;Boekingstype;Product type;Ticket nummer;Ticket uitgifte datum;PNR nummer;Ticket route;Luchtvaartmaatschappij;Boekingskanaal;Sub-kanaal;Einddatum segment;Nieuw/Wijziging/Annulering;Eindbestemming vlucht
3;484336;19-12-2013;-306,97;FLIGHT;Vliegticket;6,70432E+12;1-12-2013;63FWQCM;LED/VKO/JFK/BOS;UN;;;19-12-2013;A;JFK
3;489855;5-1-2014;391,85;FLIGHT;Vliegticket;6,24463E+12;1-1-2014;5HFOHUM;ZRH/SAW/IKA/SAW/CGN;PC;;;18-1-2014;N;IKA
3;489779;12-1-2014;106,2;FLIGHT;Vliegticket;5,54634E+11;1-1-2014;49LBRRM;FCO/SUF/FCO;AZ;;;26-1-2014;N;SUF
3;489787;18-2-2014;120,83;FLIGHT;Vliegticket;1,64634E+11;1-1-2014;5DBSCTM;DEN/LAS;UA;;;18-2-2014;N;LAS
3;489787;18-2-2014;120,83;FLIGHT;Vliegticket;1,64634E+11;1-1-2014;5DBSCTM;DEN/LAS;UA;;;18-2-2014;N;LAS
3;489787;1-1-2014;13,98;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;1-1-2014;N;
3;489787;1-1-2014;41;OVERIGE;Boekingskosten;;;;;;;;1-1-2014;N;
3;489798;19-2-2014;128,78;FLIGHT;Vliegticket;9,96463E+12;1-1-2014;5D6C28M;AMS/MAD/AMS;UX;;;26-2-2014;N;MAD
3;489798;1-1-2014;16,4;REISVERZEKERING;KORTLOPENDE ANNULERINGSVERZEKE;;;;;;;;27-2-2014;N;
3;489798;1-1-2014;8,5;OVERIGE;Boekingskosten;;;;;;;;1-1-2014;N;
3;489870;27-4-2014;308,75;AUTOHUUR;Autohuur;;;3547378;;;;;9-5-2014;N;
3;489870;26-4-2014;636,75;FLIGHT;Vliegticket;A5ICCIYM005;1-1-2014;5ICCIYM;AMS/CDG/JNB/CDG/AMS;AF;;;10-5-2014;N;JNB
3;489870;26-4-2014;636,75;FLIGHT;Vliegticket;A5ICCIYM006;1-1-2014;5ICCIYM;AMS/CDG/JNB/CDG/AMS;AF;;;10-5-2014;N;JNB
3;489870;1-1-2014;25;OVERIGE;Boekingskosten;;;;;;;;1-1-2014;N;
3;489785;21-2-2014;624,07;FLIGHT;Vliegticket;1,05463E+12;1-1-2014;5DBD3GM;AMS/HEL/PVG/HEL/AMS;AY;;;26-2-2014;N;PVG
3;489785;1-1-2014;6,99;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;1-1-2014;N;
3;489785;1-1-2014;48,88;OVERIGE;Boekingskosten;;;;;;;;1-1-2014;N;
3;489805;23-1-2014;695,03;FLIGHT;Vliegticket;2,97463E+12;1-1-2014;5FA7ZCM;AMS/BKK/AMS;CI;;;20-2-2014;N;BKK
3;489805;1-1-2014;38,5;OVERIGE;Boekingskosten;;;;;;;;1-1-2014;N;
3;489841;1-3-2014;466,47;FLIGHT;Vliegticket;64634046201;1-1-2014;5GVGTNM;AMS/JFK/***/EWR/AMS;DL;;;9-3-2014;N;EWR
3;489841;1-3-2014;466,47;FLIGHT;Vliegticket;64634046202;1-1-2014;5GVGTNM;AMS/JFK/***/EWR/AMS;DL;;;9-3-2014;N;EWR
3;489841;1-1-2014;41;OVERIGE;Boekingskosten;;;;;;;;1-1-2014;N;
3;489890;10-5-2014;174,11;FLIGHT;Vliegticket;2,20438E+12;1-1-2014;5IHFNQM;AMS/MUC/FLR/MUC/AMS;LH;;;18-5-2014;N;FLR
3;489890;10-5-2014;174,11;FLIGHT;Vliegticket;2,20438E+12;1-1-2014;5IHFNQM;AMS/MUC/FLR/MUC/AMS;LH;;;18-5-2014;N;FLR
3;489890;10-5-2014;174,11;FLIGHT;Vliegticket;2,20438E+12;1-1-2014;5IHFNQM;AMS/MUC/FLR/MUC/AMS;LH;;;18-5-2014;N;FLR
3;489890;1-1-2014;20,97;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;1-1-2014;N;
3;489890;1-1-2014;44,92;REISVERZEKERING;KORTLOPENDE ANNULERINGSVERZEKE;;;;;;;;19-5-2014;N;
3;489890;1-1-2014;53,29;OVERIGE;Boekingskosten;;;;;;;;1-1-2014;N;
3;489830;23-2-2014;240,11;FLIGHT;Vliegticket;5,66463E+12;1-1-2014;5GNEK5M;KBP/AMS/KBP;PS;skyscanner.nl BNL Meta;lgtMQHMBEeObvABQVpBo4g;2-3-2014;N;AMS
3;489830;1-1-2014;7,5;OVERIGE;Boekingskosten;;;;;;;;1-1-2014;N;
3;489776;3-1-2014;102,26;FLIGHT;Vliegticket;2,35463E+12;1-1-2014;48RI6IM;CGN/IST;TK;skyscanner.nl BNL Meta;k1hfPHJ2EeOReABQVpB-NQ;3-1-2014;N;IST
3;489776;1-1-2014;7,5;OVERIGE;Boekingskosten;;;;;;;;1-1-2014;N;
3;489897;3-2-2014;728,02;FLIGHT;Vliegticket;A5JFYD6M002;1-1-2014;5JFYD6M;AMS/ORD/ICT/IAH/AMS;LH;;;11-2-2014;N;ICT
3;489897;3-2-2014;728,02;FLIGHT;Vliegticket;A5JFYD6M003;1-1-2014;5JFYD6M;AMS/ORD/ICT/IAH/AMS;LH;;;11-2-2014;N;ICT
3;489897;1-1-2014;41;OVERIGE;Boekingskosten;;;;;;;;1-1-2014;N;
