Omzet per relatie / boekingstype;;;;;;;;;;;;;;;
Created on;9-1-2014;5:18:16;;;;;;;;;;;;;
Selectie;Factuurdatum;van;8-1-2014;Tot en met;8-1-2014;;;;;;;;;;
;;;;;;;;;;;;;;;
Bedrijf;Dossiernummer;Vertrekdatum;Bedrag;Boekingstype;Product type;Ticket nummer;Ticket uitgifte datum;PNR nummer;Ticket route;Luchtvaartmaatschappij;Boekingskanaal;Sub-kanaal;Einddatum segment;Nieuw/Wijziging/Annulering;Eindbestemming vlucht
3;491786;9-5-2014;549,26;FLIGHT;Vliegticket;AYJVDB7M002;8-1-2014;YJVDB7M;AMS/FRA/YYZ/FRA/AMS;AC;;;20-5-2014;N;YYZ
3;491786;8-1-2014;19,68;OVERIGE;Boekingskosten;;;;;;;;8-1-2014;N;
3;491677;10-1-2014;110,14;FLIGHT;Vliegticket;L217948L002;8-1-2014;217948L;EIN/NYO/EIN;FR;;;24-1-2014;N;NYO
3;491677;8-1-2014;6,99;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;8-1-2014;N;
3;491677;8-1-2014;36;OVERIGE;Boekingskosten;;;;;;;;8-1-2014;N;
3;491683;11-4-2014;104,97;FLIGHT;Vliegticket;1,25464E+12;8-1-2014;YGGDALM;AMS/LHR/AMS;BA;skyscanner.nl BNL Meta;OEkfqHiBEeOd1gBQVpBWKw;23-4-2014;N;LHR
3;491683;8-1-2014;7,5;OVERIGE;Boekingskosten;;;;;;;;8-1-2014;N;
3;491688;9-6-2014;129,88;FLIGHT;Vliegticket;4,74636E+11;8-1-2014;YGPR2TM;AMS/LIS/AMS;TP;;;19-6-2014;N;LIS
3;491688;8-1-2014;16,47;REISVERZEKERING;KORTLOPENDE ANNULERINGSVERZEKE;;;;;;;;20-6-2014;N;
3;491688;8-1-2014;8,5;OVERIGE;Boekingskosten;;;;;;;;8-1-2014;N;
3;491757;6-5-2014;465,93;FLIGHT;Vliegticket;64377636554;8-1-2014;YJHNIEM;AMS/IAH/AMS;DL;Chase.nl;2;4-6-2014;N;IAH
3;491757;6-5-2014;465,93;FLIGHT;Vliegticket;64377636555;8-1-2014;YJHNIEM;AMS/IAH/AMS;DL;Chase.nl;2;4-6-2014;N;IAH
3;491757;8-1-2014;12;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;8-1-2014;N;
3;491757;8-1-2014;35;OVERIGE;Boekingskosten;;;;;;;;8-1-2014;N;
3;491646;18-1-2014;233,02;FLIGHT;Vliegticket;6,24438E+12;8-1-2014;YDFDMKM;AMS/SAW/BEY/SAW/AMS;PC;Jetcost.nl;FNL652cd5c56c0b79;27-1-2014;N;BEY
3;491646;8-1-2014;17,5;OVERIGE;Boekingskosten;;;;;;;;8-1-2014;N;
3;491534;11-1-2014;598,16;FLIGHT;Vliegticket;1,76463E+12;8-1-2014;X4GYRHM;AMS/DXB/KBL/DXB/AMS;EK;;;1-2-2014;N;KBL
3;491534;11-1-2014;598,16;FLIGHT;Vliegticket;1,76463E+12;8-1-2014;X4GYRHM;AMS/DXB/KBL/DXB/AMS;EK;;;1-2-2014;N;KBL
3;491534;8-1-2014;13,98;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;8-1-2014;N;
3;491534;8-1-2014;36;OVERIGE;Boekingskosten;;;;;;;;8-1-2014;N;
3;491775;9-4-2014;212,35;FLIGHT;Vliegticket;4,74636E+11;9-1-2014;YI68WQM;AMS/OPO/AMS;TP;;;12-4-2014;N;OPO
3;491775;9-4-2014;212,35;FLIGHT;Vliegticket;4,74636E+11;9-1-2014;YI68WQM;AMS/OPO/AMS;TP;;;12-4-2014;N;OPO
3;491775;8-1-2014;16;OVERIGE;Boekingskosten;;;;;;;;8-1-2014;N;
3;491716;17-2-2014;130,69;FLIGHT;Vliegticket;AYIC9G6M002;8-1-2014;YIC9G6M;AMS/BCN/AMS;KL;;;21-2-2014;N;BCN
3;491716;17-2-2014;130,69;FLIGHT;Vliegticket;AYIC9G6M003;8-1-2014;YIC9G6M;AMS/BCN/AMS;KL;;;21-2-2014;N;BCN
3;491716;17-2-2014;130,69;FLIGHT;Vliegticket;AYIC9G6M004;8-1-2014;YIC9G6M;AMS/BCN/AMS;KL;;;21-2-2014;N;BCN
3;491716;8-1-2014;23,5;OVERIGE;Boekingskosten;;;;;;;;8-1-2014;N;
3;491717;4-2-2014;636,18;FLIGHT;Vliegticket;AYIILLFM002;8-1-2014;YIILLFM;AMS/DXB/BKK/DXB/AMS;EK;skyscanner.nl BNL Meta;P1lLeHiREeO3UgBQVpBGEQ;26-2-2014;N;BKK
3;491717;4-2-2014;636,18;FLIGHT;Vliegticket;AYIILLFM003;8-1-2014;YIILLFM;AMS/DXB/BKK/DXB/AMS;EK;skyscanner.nl BNL Meta;P1lLeHiREeO3UgBQVpBGEQ;26-2-2014;N;BKK
3;491717;8-1-2014;14;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;8-1-2014;N;
3;491717;8-1-2014;35;OVERIGE;Boekingskosten;;;;;;;;8-1-2014;N;
3;490511;26-4-2014;0;AUTOHUUR;Autohuur;;;CTR-121;;;;;4-5-2014;W;
3;490511;26-4-2014;0;FLIGHT;Vliegticket;L217036L005;4-1-2014;217036L;AMS/EDI/AMS;U2;;;4-5-2014;W;EDI
3;490511;26-4-2014;0;FLIGHT;Vliegticket;L217036L006;4-1-2014;217036L;AMS/EDI/AMS;U2;;;4-5-2014;W;EDI
3;490511;4-1-2014;30;OVERIGE;Boekingskosten;;;;;;;;4-1-2014;W;
3;489870;27-4-2014;0;AUTOHUUR;Autohuur;;;3547378;;;;;9-5-2014;W;
