Omzet per relatie / boekingstype;;;;;;;;;;;;;;;
Created on;12-1-2014;5:19:41;;;;;;;;;;;;;
Selectie;Factuurdatum;van;11-1-2014;Tot en met;11-1-2014;;;;;;;;;;
;;;;;;;;;;;;;;;
Bedrijf;Dossiernummer;Vertrekdatum;Bedrag;Boekingstype;Product type;Ticket nummer;Ticket uitgifte datum;PNR nummer;Ticket route;Luchtvaartmaatschappij;Boekingskanaal;Sub-kanaal;Einddatum segment;Nieuw/Wijziging/Annulering;Eindbestemming vlucht
3;492682;6-2-2014;450,33;FLIGHT;Vliegticket;6,18463E+12;11-1-2014;2D7X5YM;FRA/JFK/FRA;SQ;;;20-2-2014;N;JFK
3;492682;6-2-2014;450,33;FLIGHT;Vliegticket;6,18463E+12;11-1-2014;2D7X5YM;FRA/JFK/FRA;SQ;;;20-2-2014;N;JFK
3;492740;4-4-2014;857,51;FLIGHT;Vliegticket;7,38463E+12;11-1-2014;2FFAAEM;MAD/CDG/SGN/***/HAN/FRA/MAD;VN;;;21-4-2014;N;SGN
3;492564;12-2-2014;440,37;FLIGHT;Vliegticket;6,18463E+12;11-1-2014;Z7Q9N4M;AMS/SIN/BKK;SQ;;;13-2-2014;N;BKK
3;492757;15-2-2014;579,19;FLIGHT;Vliegticket;6,18463E+12;11-1-2014;2FTNK6M;DUB/LHR/SIN;SQ;;;15-2-2014;N;SIN
3;492625;28-3-2014;903,9;FLIGHT;Vliegticket;6,18463E+12;11-1-2014;Z2D5DMM;AMS/SIN/HAN/***/REP/SIN/AMS;SQ;;;24-4-2014;N;REP
3;492625;28-3-2014;903,9;FLIGHT;Vliegticket;6,18463E+12;11-1-2014;Z2D5DMM;AMS/SIN/HAN/***/REP/SIN/AMS;SQ;;;24-4-2014;N;REP
3;492624;2-5-2014;796,68;FLIGHT;Vliegticket;6,18463E+12;11-1-2014;ZZKPIXM;AMS/SIN/KNO/***/DPS/SIN/AMS;SQ;;;1-6-2014;N;DPS
3;492624;2-5-2014;796,68;FLIGHT;Vliegticket;6,18463E+12;11-1-2014;ZZKPIXM;AMS/SIN/KNO/***/DPS/SIN/AMS;SQ;;;1-6-2014;N;DPS
3;492623;2-10-2014;676,68;FLIGHT;Vliegticket;6,18463E+12;10-1-2014;ZXCG93M;AMS/SIN/CGK/***/DPS/SIN/AMS;SQ;;;30-10-2014;N;DPS
3;492623;2-10-2014;676,68;FLIGHT;Vliegticket;6,18463E+12;10-1-2014;ZXCG93M;AMS/SIN/CGK/***/DPS/SIN/AMS;SQ;;;30-10-2014;N;DPS
3;492747;5-10-2014;1.341,85;FLIGHT;Vliegticket;6,18463E+12;11-1-2014;2DSPTEM;AMS/SIN/AKL/***/CHC/SIN/AMS;SQ;;;6-11-2014;N;CHC
3;492747;5-10-2014;1.341,85;FLIGHT;Vliegticket;6,18463E+12;11-1-2014;2DSPTEM;AMS/SIN/AKL/***/CHC/SIN/AMS;SQ;;;6-11-2014;N;CHC
3;492626;22-10-2014;696,68;FLIGHT;Vliegticket;6,18463E+12;11-1-2014;Z8VJKZM;AMS/SIN/DPS/SIN/AMS;SQ;;;10-11-2014;N;DPS
3;492626;22-10-2014;696,68;FLIGHT;Vliegticket;6,18463E+12;11-1-2014;Z8VJKZM;AMS/SIN/DPS/SIN/AMS;SQ;;;10-11-2014;N;DPS
3;492558;8-2-2014;742,49;FLIGHT;Vliegticket;1,25463E+12;11-1-2014;2AWJ9TM;AMS/LHR/MIA/POS/LGW/AMS;BA;;;1-3-2014;N;POS
3;492558;8-2-2014;742,49;FLIGHT;Vliegticket;1,25463E+12;11-1-2014;2AWJ9TM;AMS/LHR/MIA/POS/LGW/AMS;BA;;;1-3-2014;N;POS
3;492558;11-1-2014;51;OVERIGE;Boekingskosten;;;;;;;;11-1-2014;N;
3;492637;11-5-2014;146,58;FLIGHT;Vliegticket;7,44634E+11;11-1-2014;2CW93SM;AMS/FCO/AMS;KL;Tripadvisor .nl;;25-5-2014;N;FCO
3;492637;11-5-2014;146,58;FLIGHT;Vliegticket;7,44634E+11;11-1-2014;2CW93SM;AMS/FCO/AMS;KL;Tripadvisor .nl;;25-5-2014;N;FCO
3;492637;11-1-2014;12;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;11-1-2014;N;
3;492637;11-1-2014;41,97;OVERIGE;Boekingskosten;;;;;;;;11-1-2014;N;
3;492730;28-2-2014;128,33;FLIGHT;Vliegticket;7,44634E+11;11-1-2014;2FQOGEM;OTP/AMS/OTP;KL;;;5-3-2014;N;AMS
3;492730;11-1-2014;15,7;OVERIGE;Boekingskosten;;;;;;;;11-1-2014;N;
3;492575;7-7-2014;710,47;FLIGHT;Vliegticket;2,35463E+12;11-1-2014;Z9H6I8M;AMS/IST/KUL/IST/AMS;TK;momondo.nl;;11-8-2014;N;KUL
3;492575;7-7-2014;710,47;FLIGHT;Vliegticket;2,35463E+12;11-1-2014;Z9H6I8M;AMS/IST/KUL/IST/AMS;TK;momondo.nl;;11-8-2014;N;KUL
3;492575;11-1-2014;35;OVERIGE;Boekingskosten;;;;;;;;11-1-2014;N;
3;492670;3-3-2014;102,14;FLIGHT;Vliegticket;7,44634E+11;11-1-2014;2D7CKZM;AMS/FCO/AMS;KL;;;6-3-2014;N;FCO
3;492670;3-3-2014;102,14;FLIGHT;Vliegticket;7,44634E+11;11-1-2014;2D7CKZM;AMS/FCO/AMS;KL;;;6-3-2014;N;FCO
3;492670;3-3-2014;102,14;FLIGHT;Vliegticket;7,44634E+11;11-1-2014;2D7CKZM;AMS/FCO/AMS;KL;;;6-3-2014;N;FCO
3;492670;3-3-2014;309;HOTELS;Hotel boeking;;;;;;;;6-3-2014;N;
