Omzet per relatie / boekingstype;;;;;;;;;;;;;;;
Created on;18-12-2013;5:33:39;;;;;;;;;;;;;
Selectie;Factuurdatum;van;17-12-2013;Tot en met;17-12-2013;;;;;;;;;;
;;;;;;;;;;;;;;;
Bedrijf;Dossiernummer;Vertrekdatum;Bedrag;Boekingstype;Product type;Ticket nummer;Ticket uitgifte datum;PNR nummer;Ticket route;Luchtvaartmaatschappij;Boekingskanaal;Sub-kanaal;Einddatum segment;Nieuw/Wijziging/Annulering;Eindbestemming vlucht
3;487338;21-12-2013;620,39;FLIGHT;Vliegticket;2,50463E+12;17-12-2013;67GWP8M;BKK/TAS/TLV/TAS/BKK;HY;;;8-1-2014;N;TLV
3;487290;10-1-2014;604,64;FLIGHT;Vliegticket;8,04634E+11;17-12-2013;7SBSZKM;LWO/WAW/ORD;LO;;;10-1-2014;N;ORD
3;487248;15-4-2014;288;FLIGHT;Vliegticket;1,17463E+12;17-12-2013;7MTB9GM;POZ/WAW/AMS/CPH/POZ;SK;;;21-4-2014;N;AMS
3;487214;31-1-2014;643,43;FLIGHT;Vliegticket;7,44634E+11;17-12-2013;7J48GRM;AMS/YYC/AMS;KL;;;18-2-2014;N;YYC
3;487214;31-1-2014;643,43;FLIGHT;Vliegticket;7,44634E+11;17-12-2013;7J48GRM;AMS/YYC/AMS;KL;;;18-2-2014;N;YYC
3;487214;17-12-2013;14;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;17-12-2013;N;
3;487214;17-12-2013;60,6;OVERIGE;Boekingskosten;;;;;;;;17-12-2013;N;
3;487306;14-3-2014;257,16;FLIGHT;Vliegticket;7,44634E+11;17-12-2013;7U363TM;AMS/FLR/AMS;KL;;;16-3-2014;N;FLR
3;487306;14-3-2014;257,16;FLIGHT;Vliegticket;7,44634E+11;17-12-2013;7U363TM;AMS/FLR/AMS;KL;;;16-3-2014;N;FLR
3;487306;17-12-2013;38;OVERIGE;Boekingskosten;;;;;;;;17-12-2013;N;
3;487344;4-3-2014;203,84;FLIGHT;Vliegticket;A7W2V4SM002;17-12-2013;7W2V4SM;AMS/SVG/AMS;KL;;;10-3-2014;N;SVG
3;487344;17-12-2013;29,5;OVERIGE;Boekingskosten;;;;;;;;17-12-2013;N;
3;487244;15-1-2014;150,1;FLIGHT;Vliegticket;1,17463E+12;17-12-2013;7OULYAM;AMS/CPH/AMS;SK;;;16-1-2014;N;CPH
3;487244;17-12-2013;32,28;OVERIGE;Boekingskosten;;;;;;;;17-12-2013;N;
3;487238;25-12-2013;228,73;FLIGHT;Vliegticket;7,44634E+11;17-12-2013;7NJARDM;WAW/AMS/WAW;KL;;;2-1-2014;N;AMS
3;487238;17-12-2013;79,5;OVERIGE;Boekingskosten;;;;;;;;17-12-2013;N;
3;487287;11-2-2014;934,17;FLIGHT;Vliegticket;1,80463E+12;17-12-2013;7S3T7SM;AMS/ICN/SYD/ICN/AMS;KE;;;5-4-2014;N;SYD
3;487289;13-2-2014;511,09;FLIGHT;Vliegticket;8,64634E+11;17-12-2013;7SO2BRM;SYD/CHC/SYD;NZ;;;28-2-2014;N;CHC
3;487287;17-12-2013;6,99;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;17-12-2013;N;
3;487287;17-12-2013;44,5;OVERIGE;Boekingskosten;;;;;;;;17-12-2013;N;
3;487289;17-12-2013;44,5;OVERIGE;Boekingskosten;;;;;;;;17-12-2013;N;
3;487196;21-12-2013;160,91;FLIGHT;Vliegticket;2,35463E+12;17-12-2013;7IMB7EM;IST/AMS;TK;;;21-12-2013;N;AMS
3;487196;17-12-2013;32,45;OVERIGE;Boekingskosten;;;;;;;;17-12-2013;N;
3;487317;7-1-2014;137,78;FLIGHT;Vliegticket;L213903L002;17-12-2013;213903L;NRN/TFS/NRN;FR;;;28-1-2014;N;TFS
3;487317;17-12-2013;39,71;OVERIGE;Boekingskosten;;;;;;;;17-12-2013;N;
3;487197;8-2-2014;155,38;FLIGHT;Vliegticket;L213757L002;17-12-2013;213757L;AMS/AGP/AMS;HV;;;15-2-2014;N;AGP
3;487197;8-2-2014;155,38;FLIGHT;Vliegticket;L213757L008;17-12-2013;213757L;AMS/AGP/AMS;HV;;;15-2-2014;N;AGP
3;487197;8-2-2014;155,38;FLIGHT;Vliegticket;L213757L003;17-12-2013;213757L;AMS/AGP/AMS;HV;;;15-2-2014;N;AGP
3;487197;8-2-2014;155,38;FLIGHT;Vliegticket;L213757L007;17-12-2013;213757L;AMS/AGP/AMS;HV;;;15-2-2014;N;AGP
3;487197;8-2-2014;155,38;FLIGHT;Vliegticket;L213757L006;17-12-2013;213757L;AMS/AGP/AMS;HV;;;15-2-2014;N;AGP
3;487197;8-2-2014;155,38;FLIGHT;Vliegticket;L213757L004;17-12-2013;213757L;AMS/AGP/AMS;HV;;;15-2-2014;N;AGP
3;487197;8-2-2014;155,38;FLIGHT;Vliegticket;L213757L005;17-12-2013;213757L;AMS/AGP/AMS;HV;;;15-2-2014;N;AGP
3;487203;8-3-2014;118,78;FLIGHT;Vliegticket;7,44634E+11;17-12-2013;7JIT55M;AMS/MAD/AMS;KL;;;15-3-2014;N;MAD
3;487203;8-3-2014;118,78;FLIGHT;Vliegticket;7,44634E+11;17-12-2013;7JIT55M;AMS/MAD/AMS;KL;;;15-3-2014;N;MAD
3;487203;8-3-2014;118,78;FLIGHT;Vliegticket;7,44634E+11;17-12-2013;7JIT55M;AMS/MAD/AMS;KL;;;15-3-2014;N;MAD
3;487203;8-3-2014;118,78;FLIGHT;Vliegticket;7,44634E+11;17-12-2013;7JIT55M;AMS/MAD/AMS;KL;;;15-3-2014;N;MAD
