Omzet per relatie / boekingstype;;;;;;;;;;;;;;;
Created on;5-1-2014;5:15:49;;;;;;;;;;;;;
Selectie;Factuurdatum;van;4-1-2014;Tot en met;4-1-2014;;;;;;;;;;
;;;;;;;;;;;;;;;
Bedrijf;Dossiernummer;Vertrekdatum;Bedrag;Boekingstype;Product type;Ticket nummer;Ticket uitgifte datum;PNR nummer;Ticket route;Luchtvaartmaatschappij;Boekingskanaal;Sub-kanaal;Einddatum segment;Nieuw/Wijziging/Annulering;Eindbestemming vlucht
3;490388;8-1-2014;246,84;FLIGHT;Vliegticket;6,28463E+12;4-1-2014;6SYJWSM;MSQ/AMS/TRF;B2;;;8-1-2014;N;TRF
3;490375;17-5-2014;138,06;FLIGHT;Vliegticket;5,54634E+11;4-1-2014;6OPPOUM;FCO/PMO/***/CTA/FCO;AZ;;;1-6-2014;N;CTA
3;490375;17-5-2014;138,06;FLIGHT;Vliegticket;5,54634E+11;4-1-2014;6OPPOUM;FCO/PMO/***/CTA/FCO;AZ;;;1-6-2014;N;CTA
3;490489;31-1-2014;119,5;FLIGHT;Vliegticket;A6X6Y9TM002;4-1-2014;6X6Y9TM;AMS/MUC/AMS;KL;;;2-2-2014;N;MUC
3;490489;4-1-2014;28,5;OVERIGE;Boekingskosten;;;;;;;;4-1-2014;N;
3;490507;26-4-2014;292,94;FLIGHT;Vliegticket;L217031L002;4-1-2014;217031L;DUS/CTA/DUS;4U;;;8-5-2014;N;CTA
3;490507;26-4-2014;292,94;FLIGHT;Vliegticket;L217031L003;4-1-2014;217031L;DUS/CTA/DUS;4U;;;8-5-2014;N;CTA
3;490507;4-1-2014;49,65;REISVERZEKERING;KORTLOPENDE ANNULERINGSVERZEKE;;;;;;;;9-5-2014;N;
3;490507;4-1-2014;13,98;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;4-1-2014;N;
3;490507;4-1-2014;51;OVERIGE;Boekingskosten;;;;;;;;4-1-2014;N;
3;490430;24-6-2014;138,92;FLIGHT;Vliegticket;L216960L002;4-1-2014;216960L;NRN/BZR/NRN;FR;;;1-7-2014;N;BZR
3;490430;24-6-2014;63,22;FLIGHT;Vliegticket;L216960L003;4-1-2014;216960L;NRN/BZR/NRN;FR;;;1-7-2014;N;BZR
3;490430;4-1-2014;51;OVERIGE;Boekingskosten;;;;;;;;4-1-2014;N;
3;490390;1-5-2014;637,58;FLIGHT;Vliegticket;3,74634E+11;4-1-2014;6SNYW2M;AMS/PHL/AMS;US;;;30-6-2014;N;PHL
3;490390;1-5-2014;637,58;FLIGHT;Vliegticket;3,74634E+11;4-1-2014;6SNYW2M;AMS/PHL/AMS;US;;;30-6-2014;N;PHL
3;490390;4-1-2014;41;OVERIGE;Boekingskosten;;;;;;;;4-1-2014;N;
3;490414;1-3-2014;89,54;FLIGHT;Vliegticket;L216935L002;4-1-2014;216935L;DUS/LGW/DUS;U2;;;5-3-2014;N;LGW
3;490414;4-1-2014;6,99;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;4-1-2014;N;
3;490414;4-1-2014;36;OVERIGE;Boekingskosten;;;;;;;;4-1-2014;N;
3;490511;26-4-2014;247,95;AUTOHUUR;Autohuur;;;CTR-121;;;;;4-5-2014;N;
3;490511;26-4-2014;182,79;FLIGHT;Vliegticket;L217036L005;4-1-2014;217036L;AMS/EDI/AMS;U2;;;4-5-2014;N;EDI
3;490511;26-4-2014;182,79;FLIGHT;Vliegticket;L217036L006;4-1-2014;217036L;AMS/EDI/AMS;U2;;;4-5-2014;N;EDI
3;490511;4-1-2014;25;OVERIGE;Boekingskosten;;;;;;;;4-1-2014;N;
3;490463;18-6-2014;128,64;FLIGHT;Vliegticket;L216997L002;4-1-2014;216997L;BRU/OPO/BRU;FR;;;2-7-2014;N;OPO
3;490463;18-6-2014;128,64;FLIGHT;Vliegticket;L216997L003;4-1-2014;216997L;BRU/OPO/BRU;FR;;;2-7-2014;N;OPO
3;490463;4-1-2014;13,98;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;4-1-2014;N;
3;490463;4-1-2014;51;OVERIGE;Boekingskosten;;;;;;;;4-1-2014;N;
3;490439;20-5-2014;247,39;FLIGHT;Vliegticket;4,74634E+11;4-1-2014;6V3CPNM;AMS/LIS/FNC/LIS/AMS;TP;;;3-6-2014;N;FNC
3;490440;20-5-2014;247,39;FLIGHT;Vliegticket;4,74634E+11;4-1-2014;6WLVHAM;AMS/LIS/FNC/LIS/AMS;TP;;;3-6-2014;N;FNC
3;490439;20-5-2014;247,39;FLIGHT;Vliegticket;4,74634E+11;4-1-2014;6V3CPNM;AMS/LIS/FNC/LIS/AMS;TP;;;3-6-2014;N;FNC
3;490440;20-5-2014;247,39;FLIGHT;Vliegticket;4,74634E+11;4-1-2014;6WLVHAM;AMS/LIS/FNC/LIS/AMS;TP;;;3-6-2014;N;FNC
3;490439;4-1-2014;44,23;OVERIGE;Boekingskosten;;;;;;;;4-1-2014;N;
3;490440;4-1-2014;44,23;OVERIGE;Boekingskosten;;;;;;;;4-1-2014;N;
3;490500;13-8-2014;145,09;FLIGHT;Vliegticket;7,44634E+11;4-1-2014;6Y47KCM;AMS/FCO/AMS;KL;;;27-8-2014;N;FCO
3;490500;13-8-2014;145,09;FLIGHT;Vliegticket;7,44634E+11;4-1-2014;6Y47KCM;AMS/FCO/AMS;KL;;;27-8-2014;N;FCO
3;490500;4-1-2014;36;OVERIGE;Boekingskosten;;;;;;;;4-1-2014;N;
