Omzet per relatie / boekingstype;;;;;;;;;;;;;;;
Created on;1-1-2014;5:21:16;;;;;;;;;;;;;
Selectie;Factuurdatum;van;31-12-2013;Tot en met;31-12-2013;;;;;;;;;;
;;;;;;;;;;;;;;;
Bedrijf;Dossiernummer;Vertrekdatum;Bedrag;Boekingstype;Product type;Ticket nummer;Ticket uitgifte datum;PNR nummer;Ticket route;Luchtvaartmaatschappij;Boekingskanaal;Sub-kanaal;Einddatum segment;Nieuw/Wijziging/Annulering;Eindbestemming vlucht
3;489760;15-5-2014;119,44;FLIGHT;Vliegticket;5,55E+11;31-12-2013;475TNLM;FCO/BRI/FCO;AZ;;;18-5-2014;N;BRI
3;489759;15-5-2014;119,44;FLIGHT;Vliegticket;5,55E+11;31-12-2013;47YTI4M;FCO/BRI/FCO;AZ;;;18-5-2014;N;BRI
3;489762;3-1-2014;399,77;FLIGHT;Vliegticket;1,24E+12;31-12-2013;48N52KM;BRU/ALG/BRU;AH;Jetcost.nl;FNL652c31a54ce684;8-1-2014;N;ALG
3;489762;31-12-2013;17,5;OVERIGE;Boekingskosten;;;;;;;;31-12-2013;N;
3;489620;31-12-2013;263,58;FLIGHT;Vliegticket;8,25E+11;31-12-2013;4WABVUM;BCN/BRU;SN;skyscanner.nl BNL Meta;96EtUnGzEeOKPABQVpBo4g;31-12-2013;N;BRU
3;489620;31-12-2013;263,58;FLIGHT;Vliegticket;8,25E+11;31-12-2013;4WABVUM;BCN/BRU;SN;skyscanner.nl BNL Meta;96EtUnGzEeOKPABQVpBo4g;31-12-2013;N;BRU
3;489620;31-12-2013;12;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;31-12-2013;N;
3;489620;31-12-2013;24,7;OVERIGE;Boekingskosten;;;;;;;;31-12-2013;N;
3;489634;30-1-2014;799,79;FLIGHT;Vliegticket;7,45E+11;31-12-2013;4Y64KMM;AMS/DEL/KTM/***/GOI/BOM/AMS;KL;;;1-3-2014;N;GOI
3;489634;30-1-2014;799,79;FLIGHT;Vliegticket;7,45E+11;31-12-2013;4Y64KMM;AMS/DEL/KTM/***/GOI/BOM/AMS;KL;;;1-3-2014;N;GOI
3;489634;31-12-2013;51;OVERIGE;Boekingskosten;;;;;;;;31-12-2013;N;
3;489697;4-4-2014;97,88;FLIGHT;Vliegticket;7,45E+11;31-12-2013;45E8SLM;AMS/OSL/AMS;KL;;;8-4-2014;N;OSL
3;489697;4-4-2014;97,88;FLIGHT;Vliegticket;7,45E+11;31-12-2013;45E8SLM;AMS/OSL/AMS;KL;;;8-4-2014;N;OSL
3;489697;31-12-2013;36;OVERIGE;Boekingskosten;;;;;;;;31-12-2013;N;
3;489687;18-2-2014;57,1;FLIGHT;Vliegticket;L216152L002;31-12-2013;216152L;EIN/DUB/EIN;FR;;;21-2-2014;N;DUB
3;489687;31-12-2013;36;OVERIGE;Boekingskosten;;;;;;;;31-12-2013;N;
3;489743;16-2-2014;724,65;FLIGHT;Vliegticket;1,25E+12;31-12-2013;46995CM;AMS/LGW/BGI/LGW/AMS;BA;;;3-3-2014;N;BGI
3;489743;16-2-2014;724,65;FLIGHT;Vliegticket;1,25E+12;31-12-2013;46995CM;AMS/LGW/BGI/LGW/AMS;BA;;;3-3-2014;N;BGI
3;489743;31-12-2013;13,98;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;31-12-2013;N;
3;489743;31-12-2013;51;OVERIGE;Boekingskosten;;;;;;;;31-12-2013;N;
3;455362;3-1-2014;0;FLIGHT;Vliegticket;5,66E+12;17-8-2013;34XX3VM;LED/KBP/AMS;PS;Chase.nl;2;6-1-2014;W;AMS
3;455362;17-8-2013;-5;OVERIGE;Boekingskosten;;;;;;;;17-8-2013;W;
3;489710;29-7-2014;270,28;FLIGHT;Vliegticket;2,35E+12;31-12-2013;46IGSRM;AMS/IST/***/SAW/AMS;TK;;;16-9-2014;N;SAW
3;489710;29-7-2014;270,28;FLIGHT;Vliegticket;2,35E+12;31-12-2013;46IGSRM;AMS/IST/***/SAW/AMS;TK;;;16-9-2014;N;SAW
3;489710;31-12-2013;36;OVERIGE;Boekingskosten;;;;;;;;31-12-2013;N;
3;489658;17-5-2014;224,61;AUTOHUUR;Autohuur;;;02SDWK;;;;;31-5-2014;N;
3;489658;17-5-2014;159;FLIGHT;Vliegticket;L216121L005;31-12-2013;216121L;RTM/NCE/RTM;HV;;;31-5-2014;N;NCE
3;489658;17-5-2014;159;FLIGHT;Vliegticket;L216121L006;31-12-2013;216121L;RTM/NCE/RTM;HV;;;31-5-2014;N;NCE
3;489658;17-5-2014;13,98;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;17-5-2014;N;
3;489658;31-12-2013;25;OVERIGE;Boekingskosten;;;;;;;;31-12-2013;N;
3;489662;7-2-2014;109,95;FLIGHT;Vliegticket;7,45E+11;31-12-2013;43U2L4M;AMS/LYS/AMS;KL;skyscanner.nl BNL Meta;2Si2znIIEeOu6gBQVpBbRw;9-2-2014;N;LYS
3;489662;31-12-2013;6;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;31-12-2013;N;
3;489662;7-2-2014;12,14;REISVERZEKERING;KORTLOPENDE REISVERZEKERING;;;;;;skyscanner.nl BNL Meta;2Si2znIIEeOu6gBQVpBbRw;10-2-2014;N;
3;489662;31-12-2013;7,5;OVERIGE;Boekingskosten;;;;;;;;31-12-2013;N;
3;489681;17-1-2014;189,92;FLIGHT;Vliegticket;6,24E+12;31-12-2013;437TSVM;AMS/SAW/IKA/SAW/AMS;PC;skyscanner.nl BNL Meta;SIDglHIVEeOHWQBQVpB-SA;26-1-2014;N;IKA
