Omzet per relatie / boekingstype;;;;;;;;;;;;;;;
Created on;27-12-2013;5:26:21;;;;;;;;;;;;;
Selectie;Factuurdatum;van;26-12-2013;Tot en met;26-12-2013;;;;;;;;;;
;;;;;;;;;;;;;;;
Bedrijf;Dossiernummer;Vertrekdatum;Bedrag;Boekingstype;Product type;Ticket nummer;Ticket uitgifte datum;PNR nummer;Ticket route;Luchtvaartmaatschappij;Boekingskanaal;Sub-kanaal;Einddatum segment;Nieuw/Wijziging/Annulering;Eindbestemming vlucht
3;488802;30-12-2013;115,42;FLIGHT;Vliegticket;1,47463E+12;26-12-2013;24HFN8M;AMS/NDR;AT;;;30-12-2013;N;NDR
3;488802;30-12-2013;115,42;FLIGHT;Vliegticket;1,47463E+12;26-12-2013;24HFN8M;AMS/NDR;AT;;;30-12-2013;N;NDR
3;488871;19-1-2014;242,92;FLIGHT;Vliegticket;6,24463E+12;26-12-2013;26MZW8M;AMS/SAW/IKA/SAW/AMS;PC;orbiville.nl;;26-1-2014;N;IKA
3;488871;19-1-2014;242,92;FLIGHT;Vliegticket;6,24463E+12;26-12-2013;26MZW8M;AMS/SAW/IKA/SAW/AMS;PC;orbiville.nl;;26-1-2014;N;IKA
3;488871;26-12-2013;35;OVERIGE;Boekingskosten;;;;;;;;26-12-2013;N;
3;488866;29-1-2014;92,86;FLIGHT;Vliegticket;L215351L002;26-12-2013;215351L;EIN/AGA/EIN;FR;;;5-2-2014;N;AGA
3;488866;26-12-2013;37;OVERIGE;Boekingskosten;;;;;;;;26-12-2013;N;
3;488884;30-7-2014;231,62;FLIGHT;Vliegticket;2,20463E+12;26-12-2013;279QR9M;PUY/ZAG/MUC/AMS/MUC/ZAG/PUY;LH;;;6-8-2014;N;AMS
3;488892;13-8-2014;291,62;FLIGHT;Vliegticket;2,20463E+12;26-12-2013;275SGFM;PUY/ZAG/MUC/AMS/MUC/ZAG/PUY;LH;;;20-8-2014;N;AMS
3;488884;26-12-2013;6,99;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;26-12-2013;N;
3;488892;26-12-2013;6,99;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;26-12-2013;N;
3;488884;26-12-2013;29,5;OVERIGE;Boekingskosten;;;;;;;;26-12-2013;N;
3;488892;26-12-2013;14,5;OVERIGE;Boekingskosten;;;;;;;;26-12-2013;N;
3;488836;25-8-2014;798,18;FLIGHT;Vliegticket;7,44634E+11;26-12-2013;25SXQHM;AMS/DPS/AMS;KL;;;16-9-2014;N;DPS
3;488836;25-8-2014;798,18;FLIGHT;Vliegticket;7,44634E+11;26-12-2013;25SXQHM;AMS/DPS/AMS;KL;;;16-9-2014;N;DPS
3;488836;26-12-2013;117,36;REISVERZEKERING;KORTLOPENDE ANNULERINGSVERZEKE;;;;;;;;17-9-2014;N;
3;488836;26-12-2013;58;OVERIGE;Boekingskosten;;;;;;;;26-12-2013;N;
3;488917;28-12-2013;859,4;FLIGHT;Vliegticket;7,44634E+11;26-12-2013;3AC3SFM;AMS/ACC/FCO/LIN/AMS;KL;;;1-2-2014;N;ACC
3;488917;26-12-2013;6,99;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;26-12-2013;N;
3;488917;26-12-2013;39,5;OVERIGE;Boekingskosten;;;;;;;;26-12-2013;N;
3;488799;22-2-2014;866,09;FLIGHT;Vliegticket;4,74634E+11;26-12-2013;23LMWCM;AMS/LIS/REC/LIS/AMS;TP;;;15-3-2014;N;REC
3;488799;22-2-2014;866,09;FLIGHT;Vliegticket;4,74634E+11;26-12-2013;23LMWCM;AMS/LIS/REC/LIS/AMS;TP;;;15-3-2014;N;REC
3;488799;26-12-2013;58;OVERIGE;Boekingskosten;;;;;;;;26-12-2013;N;
3;488883;10-1-2014;184,09;FLIGHT;Vliegticket;7,44634E+11;26-12-2013;28JRQZM;AMS/NCL/AMS;KL;;;14-1-2014;N;NCL
3;488883;26-12-2013;29,5;OVERIGE;Boekingskosten;;;;;;;;26-12-2013;N;
3;488890;15-5-2014;637,14;FLIGHT;Vliegticket;7,44634E+11;26-12-2013;28NALXM;AMS/EWR/AMS;KL;;;19-5-2014;N;EWR
3;488890;26-12-2013;50,8;REISVERZEKERING;KORTLOPENDE ANNULERINGSVERZEKE;;;;;;;;20-5-2014;N;
3;488890;26-12-2013;17;OVERIGE;Boekingskosten;;;;;;;;26-12-2013;N;
3;488806;15-3-2014;279,92;FLIGHT;Vliegticket;6,24463E+12;26-12-2013;24LI42M;AMS/SAW/IKA/SAW/AMS;PC;skyscanner.nl BNL Meta;ylRUem4UEeOJLQBQVpB-Lw;29-3-2014;N;IKA
3;488806;26-12-2013;22,7;OVERIGE;Boekingskosten;;;;;;;;26-12-2013;N;
3;488911;1-6-2014;1.770,49;FLIGHT;Vliegticket;A292BUAM002;26-12-2013;292BUAM;AMS/JFK/LAS/JFK/AMS;DL;skyscanner.nl BNL Meta;Zk2-mm5FEeOvTQBQVpAjNw;18-6-2014;N;LAS
3;488911;1-6-2014;1.770,49;FLIGHT;Vliegticket;A292BUAM003;26-12-2013;292BUAM;AMS/JFK/LAS/JFK/AMS;DL;skyscanner.nl BNL Meta;Zk2-mm5FEeOvTQBQVpAjNw;18-6-2014;N;LAS
3;488911;26-12-2013;94,04;REISVERZEKERING;KORTLOPENDE ANNULERINGSVERZEKE;;;;;;skyscanner.nl BNL Meta;Zk2-mm5FEeOvTQBQVpAjNw;20-6-2014;N;
3;488911;26-12-2013;14;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;26-12-2013;N;
