Omzet per relatie / boekingstype;;;;;;;;;;;;;;;
Created on;16-12-2013;5:33:02;;;;;;;;;;;;;
Selectie;Factuurdatum;van;15-12-2013;Tot en met;15-12-2013;;;;;;;;;;
;;;;;;;;;;;;;;;
Bedrijf;Dossiernummer;Vertrekdatum;Bedrag;Boekingstype;Product type;Ticket nummer;Ticket uitgifte datum;PNR nummer;Ticket route;Luchtvaartmaatschappij;Boekingskanaal;Sub-kanaal;Einddatum segment;Nieuw/Wijziging/Annulering;Eindbestemming vlucht
3;487025;14-2-2014;237,68;FLIGHT;Vliegticket;6,24463E+12;15-12-2013;6PDCQOM;AMS/SAW/TLV/SAW/AMS;PC;;;22-2-2014;N;TLV
3;487025;14-2-2014;216,68;FLIGHT;Vliegticket;6,24463E+12;15-12-2013;6PDCQOM;AMS/SAW/TLV/SAW/AMS;PC;;;22-2-2014;N;TLV
3;487025;14-2-2014;216,68;FLIGHT;Vliegticket;6,24463E+12;15-12-2013;6PDCQOM;AMS/SAW/TLV/SAW/AMS;PC;;;22-2-2014;N;TLV
3;487025;14-2-2014;216,68;FLIGHT;Vliegticket;6,24463E+12;15-12-2013;6PDCQOM;AMS/SAW/TLV/SAW/AMS;PC;;;22-2-2014;N;TLV
3;487025;14-2-2014;237,68;FLIGHT;Vliegticket;6,24463E+12;15-12-2013;6PDCQOM;AMS/SAW/TLV/SAW/AMS;PC;;;22-2-2014;N;TLV
3;487025;15-12-2013;63,5;OVERIGE;Boekingskosten;;;;;;;;15-12-2013;N;
3;486970;27-12-2013;184,64;FLIGHT;Vliegticket;7,44634E+11;15-12-2013;6LXXU9M;AMS/BUD/AMS;KL;;;8-1-2014;N;BUD
3;486963;10-1-2014;624,52;FLIGHT;Vliegticket;1,17463E+12;15-12-2013;6MSGG2M;AMS/CPH/ORD/CPH/AMS;SK;;;21-5-2014;N;ORD
3;486963;15-12-2013;38,28;OVERIGE;Boekingskosten;;;;;;;;15-12-2013;N;
3;486970;15-12-2013;28,5;OVERIGE;Boekingskosten;;;;;;;;15-12-2013;N;
3;486977;30-12-2013;364,63;FLIGHT;Vliegticket;7,44634E+11;15-12-2013;6NNLQUM;AMS/ABZ/AMS;KL;;;5-1-2014;N;ABZ
3;486977;15-12-2013;29,5;OVERIGE;Boekingskosten;;;;;;;;15-12-2013;N;
3;486973;7-2-2014;587,41;FLIGHT;Vliegticket;3,74634E+11;15-12-2013;6NJLWLM;AMS/PHL/PHX/PHL/AMS;US;Chase.nl;6;19-2-2014;N;PHX
3;486973;7-2-2014;587,41;FLIGHT;Vliegticket;3,74634E+11;15-12-2013;6NJLWLM;AMS/PHL/PHX/PHL/AMS;US;Chase.nl;6;19-2-2014;N;PHX
3;486973;7-2-2014;587,41;FLIGHT;Vliegticket;3,74634E+11;15-12-2013;6NJLWLM;AMS/PHL/PHX/PHL/AMS;US;Chase.nl;6;19-2-2014;N;PHX
3;486973;15-12-2013;90;OVERIGE;Boekingskosten;;;;;;;;15-12-2013;N;
3;486976;30-12-2013;149,98;FLIGHT;Vliegticket;L213498L002;15-12-2013;213498L;EIN/BUD/EIN;W6;;;2-1-2014;N;BUD
3;486976;15-12-2013;36;OVERIGE;Boekingskosten;;;;;;;;15-12-2013;N;
3;486948;16-12-2013;130,91;FLIGHT;Vliegticket;2,35463E+12;15-12-2013;6MOQNCM;ESB/IST/DUS;TK;;;17-12-2013;N;DUS
3;486948;15-12-2013;6,99;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;15-12-2013;N;
3;486948;15-12-2013;29,5;OVERIGE;Boekingskosten;;;;;;;;15-12-2013;N;
3;487015;23-2-2014;86,2;FLIGHT;Vliegticket;L213527L002;15-12-2013;213527L;AGP/AMS;VY;;;23-2-2014;N;AMS
3;487015;23-2-2014;86,2;FLIGHT;Vliegticket;L213527L006;15-12-2013;213527L;AGP/AMS;VY;;;23-2-2014;N;AMS
3;487015;23-2-2014;66,74;FLIGHT;Vliegticket;L213527L004;15-12-2013;213527L;AGP/AMS;VY;;;23-2-2014;N;AMS
3;487015;23-2-2014;66,74;FLIGHT;Vliegticket;L213527L003;15-12-2013;213527L;AGP/AMS;VY;;;23-2-2014;N;AMS
3;487015;23-2-2014;66,74;FLIGHT;Vliegticket;L213527L005;15-12-2013;213527L;AGP/AMS;VY;;;23-2-2014;N;AMS
3;487015;15-12-2013;101;OVERIGE;Boekingskosten;;;;;;;;15-12-2013;N;
3;486934;21-6-2014;76,95;FLIGHT;Vliegticket;L213471L002;15-12-2013;213471L;LIS/AMS;HV;;;22-6-2014;N;AMS
3;486934;15-12-2013;37;OVERIGE;Boekingskosten;;;;;;;;15-12-2013;N;
3;486869;14-2-2014;567,02;FLIGHT;Vliegticket;5,89463E+12;15-12-2013;6IOBZ2M;AMS/BRU/DEL/BRU/AMS;9W;;;23-2-2014;N;DEL
3;486869;14-2-2014;567,02;FLIGHT;Vliegticket;5,89463E+12;15-12-2013;6IOBZ2M;AMS/BRU/DEL/BRU/AMS;9W;;;23-2-2014;N;DEL
3;486869;15-12-2013;13,98;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;15-12-2013;N;
3;486869;15-12-2013;53;OVERIGE;Boekingskosten;;;;;;;;15-12-2013;N;
3;486825;19-7-2014;853,85;FLIGHT;Vliegticket;6,03463E+12;15-12-2013;6B6AAWM;AMS/FRA/CMB/FCO/AMS;UL;;;9-8-2014;N;CMB
3;486825;19-7-2014;707,39;FLIGHT;Vliegticket;6,03463E+12;15-12-2013;6B6AAWM;AMS/FRA/CMB/FCO/AMS;UL;;;9-8-2014;N;CMB
