Omzet per relatie / boekingstype;;;;;;;;;;;;;;;
Created on;8-1-2014;5:20:03;;;;;;;;;;;;;
Selectie;Factuurdatum;van;7-1-2014;Tot en met;7-1-2014;;;;;;;;;;
;;;;;;;;;;;;;;;
Bedrijf;Dossiernummer;Vertrekdatum;Bedrag;Boekingstype;Product type;Ticket nummer;Ticket uitgifte datum;PNR nummer;Ticket route;Luchtvaartmaatschappij;Boekingskanaal;Sub-kanaal;Einddatum segment;Nieuw/Wijziging/Annulering;Eindbestemming vlucht
3;491352;11-1-2014;392,93;FLIGHT;Vliegticket;2,20463E+12;7-1-2014;8LGW4AM;AMS/FRA/BGO/***/KKN/OSL/CPH;LH;;;18-1-2014;N;KKN
3;491352;11-1-2014;392,93;FLIGHT;Vliegticket;2,20463E+12;7-1-2014;8LGW4AM;AMS/FRA/BGO/***/KKN/OSL/CPH;LH;;;18-1-2014;N;KKN
3;491277;8-2-2014;805,91;FLIGHT;Vliegticket;6,18463E+12;7-1-2014;8E6MSTM;GLA/LHR/SIN/KUL;SQ;;;9-2-2014;N;KUL
3;491106;26-3-2014;52,4;FLIGHT;Vliegticket;5,54634E+11;7-1-2014;7ZK4JZM;FCO/PMO;AZ;;;26-3-2014;N;PMO
3;491106;26-3-2014;52,4;FLIGHT;Vliegticket;5,54634E+11;7-1-2014;7ZK4JZM;FCO/PMO;AZ;;;26-3-2014;N;PMO
3;491345;7-7-2014;157,41;FLIGHT;Vliegticket;L217738L002;7-1-2014;217738L;AMS/KEF;X9;;;7-7-2014;N;KEF
3;491345;7-7-2014;157,41;FLIGHT;Vliegticket;L217738L003;7-1-2014;217738L;AMS/KEF;X9;;;7-7-2014;N;KEF
3;491345;7-1-2014;13,98;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;7-1-2014;N;
3;491345;7-1-2014;51;OVERIGE;Boekingskosten;;;;;;;;7-1-2014;N;
3;465829;5-10-2013;0;FLIGHT;Vliegticket;1,25415E+12;20-9-2013;6X52T4M;AMS/LHR/YYC/LHR/AMS;BA;Idealo.nl account;;17-1-2014;W;YYC
3;465829;16-1-2014;180;FLIGHT;Vliegticket;A6X52T4M026;7-1-2014;6X52T4M;YYC/LHR/AMS;BA;;;17-1-2014;N;YYC
3;465829;20-9-2013;55;OVERIGE;Boekingskosten;;;;;;;;20-9-2013;W;
3;491110;18-1-2014;228,96;FLIGHT;Vliegticket;1,15463E+12;7-1-2014;75KY9PM;SJJ/BEG/AMS/BEG/SJJ;JU;;;15-2-2014;N;AMS
3;491110;7-1-2014;28,5;OVERIGE;Boekingskosten;;;;;;;;7-1-2014;N;
3;491097;25-1-2014;508,96;FLIGHT;Vliegticket;3,74634E+11;7-1-2014;74BJSIM;AMS/PHL/MIA/PHL/AMS;US;skyscanner.nl BNL Meta;WG0qmHdIEeO0bwBQVpAoHw;1-2-2014;N;MIA
3;491097;25-1-2014;508,96;FLIGHT;Vliegticket;3,74634E+11;7-1-2014;74BJSIM;AMS/PHL/MIA/PHL/AMS;US;skyscanner.nl BNL Meta;WG0qmHdIEeO0bwBQVpAoHw;1-2-2014;N;MIA
3;491097;7-1-2014;12;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;7-1-2014;N;
3;491097;25-1-2014;60,26;REISVERZEKERING;KORTLOPENDE REISVERZEKERING;;;;;;skyscanner.nl BNL Meta;WG0qmHdIEeO0bwBQVpAoHw;3-2-2014;N;
3;491097;7-1-2014;35;OVERIGE;Boekingskosten;;;;;;;;7-1-2014;N;
3;491478;5-2-2014;185,86;FLIGHT;Vliegticket;1,25463E+12;7-1-2014;8PULRWM;AMS/LCY/AMS;BA;;;6-2-2014;N;LCY
3;491478;5-2-2014;185,86;FLIGHT;Vliegticket;1,25463E+12;7-1-2014;8PULRWM;AMS/LCY/AMS;BA;;;6-2-2014;N;LCY
3;491478;5-2-2014;185,86;FLIGHT;Vliegticket;1,25463E+12;7-1-2014;8PULRWM;AMS/LCY/AMS;BA;;;6-2-2014;N;LCY
3;491478;7-1-2014;23,5;OVERIGE;Boekingskosten;;;;;;;;7-1-2014;N;
3;491275;23-1-2014;103,95;FLIGHT;Vliegticket;L217670L002;7-1-2014;217670L;AMS/LIS/AMS;HV;;;26-1-2014;N;LIS
3;491275;23-1-2014;103,95;FLIGHT;Vliegticket;L217670L003;7-1-2014;217670L;AMS/LIS/AMS;HV;;;26-1-2014;N;LIS
3;491275;7-1-2014;51;OVERIGE;Boekingskosten;;;;;;;;7-1-2014;N;
3;491328;30-5-2014;107;FLIGHT;Vliegticket;L217732L002;7-1-2014;217732L;AMS/ARN/AMS;DY;;;4-6-2014;N;ARN
3;491328;30-5-2014;107;FLIGHT;Vliegticket;L217732L003;7-1-2014;217732L;AMS/ARN/AMS;DY;;;4-6-2014;N;ARN
3;491328;7-1-2014;31;OVERIGE;Boekingskosten;;;;;;;;7-1-2014;N;
3;491258;17-1-2014;189,19;FLIGHT;Vliegticket;1,47463E+12;7-1-2014;8GLJJ2M;AMS/NDR/AMS;AT;skyscanner.nl BNL Meta;B903XHejEeOh5wBQVpAnAA;24-1-2014;N;NDR
3;491258;17-1-2014;189,19;FLIGHT;Vliegticket;1,47463E+12;7-1-2014;8GLJJ2M;AMS/NDR/AMS;AT;skyscanner.nl BNL Meta;B903XHejEeOh5wBQVpAnAA;24-1-2014;N;NDR
3;491258;7-1-2014;35;OVERIGE;Boekingskosten;;;;;;;;7-1-2014;N;
3;491114;10-1-2014;882,98;FLIGHT;Vliegticket;14634090791;7-1-2014;76FNXFM;AMS/LHR/MIA/GCM/MIA/LHR/AMS;AA;;;16-1-2014;N;GCM
