Omzet per relatie / boekingstype;;;;;;;;;;;;;;;
Created on;28-12-2013;5:20:36;;;;;;;;;;;;;
Selectie;Factuurdatum;van;27-12-2013;Tot en met;27-12-2013;;;;;;;;;;
;;;;;;;;;;;;;;;
Bedrijf;Dossiernummer;Vertrekdatum;Bedrag;Boekingstype;Product type;Ticket nummer;Ticket uitgifte datum;PNR nummer;Ticket route;Luchtvaartmaatschappij;Boekingskanaal;Sub-kanaal;Einddatum segment;Nieuw/Wijziging/Annulering;Eindbestemming vlucht
3;489025;21-10-2014;925,04;FLIGHT;Vliegticket;1,17463E+12;27-12-2013;3E5QRVM;DUS/CPH/EWR/STL;SK;;;21-10-2014;N;STL
3;489025;21-10-2014;925,04;FLIGHT;Vliegticket;1,17463E+12;27-12-2013;3E5QRVM;DUS/CPH/EWR/STL;SK;;;21-10-2014;N;STL
3;488996;7-1-2014;39,17;FLIGHT;Vliegticket;1,25463E+12;27-12-2013;3KJCA6M;AMS/LGW;BA;skyscanner.nl BNL Meta;cOzUOG7sEeO23wBQVpB-MA;7-1-2014;N;LGW
3;488996;7-1-2014;39,17;FLIGHT;Vliegticket;1,25463E+12;27-12-2013;3KJCA6M;AMS/LGW;BA;skyscanner.nl BNL Meta;cOzUOG7sEeO23wBQVpB-MA;7-1-2014;N;LGW
3;488996;27-12-2013;15;OVERIGE;Boekingskosten;;;;;;;;27-12-2013;N;
3;489020;11-5-2014;651,62;FLIGHT;Vliegticket;9,32463E+12;27-12-2013;3LSTWRM;AMS/MAN/LAS/***/MCO/LGW/AMS;VS;;;25-5-2014;N;LAS
3;489020;11-5-2014;651,62;FLIGHT;Vliegticket;9,32463E+12;27-12-2013;3LSTWRM;AMS/MAN/LAS/***/MCO/LGW/AMS;VS;;;25-5-2014;N;LAS
3;489020;11-5-2014;651,62;FLIGHT;Vliegticket;9,32463E+12;27-12-2013;3LSTWRM;AMS/MAN/LAS/***/MCO/LGW/AMS;VS;;;25-5-2014;N;LAS
3;489020;27-12-2013;20,97;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;27-12-2013;N;
3;489020;27-12-2013;54;OVERIGE;Boekingskosten;;;;;;;;27-12-2013;N;
3;489081;16-2-2014;757,32;FLIGHT;Vliegticket;1,26463E+12;27-12-2013;3PLWFAM;AMS/CGK/AMQ/CGK/AMS;GA;skyscanner.nl BNL Meta;3DeLTm8iEeObTABQVpg7gg;29-3-2014;N;AMQ
3;489081;16-2-2014;757,32;FLIGHT;Vliegticket;1,26463E+12;27-12-2013;3PLWFAM;AMS/CGK/AMQ/CGK/AMS;GA;skyscanner.nl BNL Meta;3DeLTm8iEeObTABQVpg7gg;29-3-2014;N;AMQ
3;489081;27-12-2013;110,39;REISVERZEKERING;KORTLOPENDE ANNULERINGSVERZEKE;;;;;;skyscanner.nl BNL Meta;3DeLTm8iEeObTABQVpg7gg;31-3-2014;N;
3;489081;27-12-2013;16;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;27-12-2013;N;
3;489081;27-12-2013;35;OVERIGE;Boekingskosten;;;;;;;;27-12-2013;N;
3;488992;23-4-2014;525,78;FLIGHT;Vliegticket;1,76463E+12;27-12-2013;3J2MCTM;AMS/DXB/CGK/DXB/AMS;EK;momondo.nl;;9-5-2014;N;CGK
3;488992;23-4-2014;525,78;FLIGHT;Vliegticket;1,76463E+12;27-12-2013;3J2MCTM;AMS/DXB/CGK/DXB/AMS;EK;momondo.nl;;9-5-2014;N;CGK
3;488992;23-4-2014;525,78;FLIGHT;Vliegticket;1,76463E+12;27-12-2013;3J2MCTM;AMS/DXB/CGK/DXB/AMS;EK;momondo.nl;;9-5-2014;N;CGK
3;488992;23-4-2014;525,78;FLIGHT;Vliegticket;1,76463E+12;27-12-2013;3J2MCTM;AMS/DXB/CGK/DXB/AMS;EK;momondo.nl;;9-5-2014;N;CGK
3;488992;27-12-2013;151,88;REISVERZEKERING;KORTLOPENDE ANNULERINGSVERZEKE;;;;;;momondo.nl;;10-5-2014;N;
3;488992;27-12-2013;24;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;27-12-2013;N;
3;488992;27-12-2013;70;OVERIGE;Boekingskosten;;;;;;;;27-12-2013;N;
3;489015;28-2-2014;458,95;FLIGHT;Vliegticket;L215488L002;27-12-2013;215488L;AMS/LPA/AMS;HV;;;10-3-2014;N;LPA
3;489015;28-2-2014;458,95;FLIGHT;Vliegticket;L215488L003;27-12-2013;215488L;AMS/LPA/AMS;HV;;;10-3-2014;N;LPA
3;489015;27-12-2013;13,98;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;27-12-2013;N;
3;489015;27-12-2013;53;OVERIGE;Boekingskosten;;;;;;;;27-12-2013;N;
3;489079;3-1-2014;97,92;FLIGHT;Vliegticket;1,47463E+12;27-12-2013;3PCDO8M;AMS/NDR;AT;skyscanner.nl BNL Meta;LXnWaG8gEeONngBQVpB-SA;3-1-2014;N;NDR
3;489079;27-12-2013;17,5;OVERIGE;Boekingskosten;;;;;;;;27-12-2013;N;
3;488958;12-1-2014;644,77;FLIGHT;Vliegticket;2,20463E+12;27-12-2013;3HTIXQM;DUS/EWR/CMH/EWR/DUS;LH;;;19-1-2014;N;CMH
3;488958;27-12-2013;6,99;REISVERZEKERING;VLIEGTICKETGARANTIE IPP;;;;;;;;27-12-2013;N;
3;488958;27-12-2013;52,3;REISVERZEKERING;KORTLOPENDE ANNULERINGSVERZEKE;;;;;;;;20-1-2014;N;
3;488958;27-12-2013;43,41;OVERIGE;Boekingskosten;;;;;;;;27-12-2013;N;
